gene,length_aa,MW_kDa
XP_025335555.1,412,47.6
XP_025334562.1,356,42.11
XP_025335032.1,1033,118.73
XP_025336880.1,1426,163.62
XP_025338424.1,555,64.69
XP_025335369.1,464,52.77
XP_025338806.1,337,38.81
XP_025338570.1,2111,235.59
XP_025334440.1,324,34.53
XP_025337206.1,1612,179.71
XP_025334594.1,491,55.15
XP_025336139.1,686,76.23
XP_025337036.1,1166,128.03
XP_025334910.1,300,34.25
XP_025335739.1,251,29.48
XP_025335925.1,388,40.38
XP_025337173.1,399,42.16
XP_025337332.1,832,92.45
XP_025339536.1,825,90.99
XP_025338174.1,814,89.9
XP_025336772.1,423,47.74
XP_025335961.1,870,97.77
XP_025336949.1,870,97.64
XP_025337395.1,485,54.68
XP_025337662.1,255,28.49
XP_025336844.1,338,40.4
XP_025335663.1,588,62.94
XP_025334488.1,636,70.54
XP_025339149.1,668,73.43
XP_025336114.1,711,81.31
XP_025334967.1,823,92.64
XP_025334605.1,430,46.99
XP_025338621.1,697,77.28
XP_025336846.1,278,29.92
XP_025338161.1,404,44.88
XP_025338876.1,245,28.39
XP_025338259.1,664,71.13
XP_025334870.1,318,35.73
XP_025336014.1,290,32.89
XP_025336140.1,551,62.13
XP_025336137.1,491,55.48
XP_025334513.1,391,43.28
XP_025338957.1,424,47.62
XP_025337471.1,438,48.43
XP_025337833.1,408,44.25
XP_025335031.1,487,51.85
XP_025338245.1,704,79.29
XP_025338244.1,730,80.59
XP_025334709.1,712,79.15
XP_025334912.1,202,23.08
XP_025336392.1,501,53.52
XP_025335122.1,448,48.28
XP_025337132.1,770,88.26
XP_025338712.1,326,36.75
XP_025336146.1,219,24.7
XP_025337290.1,1044,117.11
XP_025338859.1,371,42.58
XP_025335774.1,450,51.03
XP_025336330.1,1752,200.26
XP_025338848.1,988,110.1
XP_025337043.1,580,65.83
XP_025339420.1,587,65.19
XP_025335797.1,776,85.6
XP_025338980.1,687,77.7
XP_025338539.1,997,111.29
XP_025337565.1,185,20.52
XP_025334512.1,683,75.24
XP_025337846.1,456,51.0
XP_025336208.1,975,108.32
XP_025337601.1,727,82.86
XP_025338696.1,782,88.09
XP_025336141.1,464,52.03
XP_025339018.1,608,69.43
XP_025338093.1,385,43.73
XP_025338094.1,385,44.19
XP_025335740.1,541,61.93
XP_025337608.1,397,45.15
XP_025336034.1,416,47.21
XP_025337487.1,1251,141.58
XP_025335213.1,414,46.94
XP_025336306.1,398,45.16
XP_025339032.1,750,84.85
XP_025336737.1,943,102.82
XP_025339426.1,977,107.44
XP_025339067.1,2283,255.24
XP_025334390.1,180,20.42
XP_025334391.1,230,26.38
XP_025336752.1,218,24.51
XP_025339178.1,1020,116.58
XP_025338986.1,307,34.25
XP_025336892.1,574,65.76
XP_025339212.1,481,55.66
XP_025337774.1,399,43.83
XP_025337042.1,362,39.09
XP_025336248.1,562,61.87
XP_025338499.1,603,65.94
XP_025334957.1,575,63.29
XP_025337651.1,576,63.57
XP_025339501.1,299,32.6
XP_025336645.1,382,41.92
XP_025335837.1,479,50.63
XP_025334874.1,151,16.88
XP_025335577.1,672,74.64
XP_025338438.1,439,49.74
XP_025338538.1,553,61.31
XP_025339510.1,585,63.95
XP_025336259.1,386,44.84
XP_025336890.1,764,85.63
XP_025336478.1,853,96.64
XP_025338941.1,249,28.58
XP_025334600.1,1318,147.52
XP_025337045.1,2516,281.95
XP_025336015.1,371,40.61
XP_025335803.1,387,43.1
XP_025338221.1,531,59.45
XP_025335813.1,437,46.97
XP_025334566.1,854,91.64
XP_025339002.1,1509,170.75
XP_025336512.1,749,82.25
XP_025339511.1,325,36.81
XP_025338687.1,961,109.83
XP_025336202.1,2359,266.64
XP_025337320.1,300,34.1
XP_025337931.1,919,103.08
XP_025338474.1,251,28.56
XP_025337192.1,557,62.91
XP_025336461.1,292,32.75
XP_025334712.1,293,32.87
XP_025338426.1,300,32.68
XP_025337860.1,1591,176.78
XP_025335475.1,369,39.53
XP_025336138.1,293,33.78
XP_025337327.1,528,58.49
XP_025334761.1,345,37.88
XP_025336805.1,473,52.41
XP_025335636.1,1153,132.7
XP_025335249.1,465,52.18
XP_025334555.1,711,81.27
XP_025334691.1,1023,111.61
XP_025336677.1,362,40.88
XP_025335738.1,200,21.65
XP_025335737.1,200,21.16
XP_025335736.1,297,31.37
XP_025335945.1,494,53.9
XP_025337942.1,555,62.73
XP_025334858.1,482,54.27
XP_025337291.1,232,26.64
XP_025334820.1,360,42.05
XP_025338123.1,299,32.51
XP_025337060.1,323,35.65
XP_025339284.1,283,32.29
XP_025338062.1,295,32.4
XP_025337550.1,553,60.33
XP_025335972.1,445,50.35
XP_025339481.1,518,59.44
XP_025335624.1,292,31.28
XP_025335625.1,243,26.13
XP_025339255.1,328,36.25
XP_025338323.1,595,68.65
XP_025335289.1,1905,213.59
XP_025336633.1,932,105.68
XP_025336608.1,300,33.92
XP_025336834.1,513,58.33
XP_025336113.1,342,38.5
XP_025335900.1,355,39.18
XP_025336898.1,376,42.14
XP_025336420.1,201,22.67
XP_025339337.1,569,62.65
XP_025335373.1,315,35.9
XP_025337072.1,357,39.22
XP_025338162.1,243,27.44
XP_025338616.1,718,78.62
XP_025337523.1,211,23.86
XP_025338954.1,486,53.5
XP_025339197.1,478,53.61
XP_025339094.1,289,33.35
XP_025335822.1,298,33.71
XP_025334515.1,436,47.82
XP_025336739.1,616,69.3
XP_025335506.1,237,25.44
XP_025335650.1,549,59.4
XP_025336550.1,584,62.56
XP_025334460.1,312,35.57
XP_025336725.1,296,33.67
XP_025336031.1,417,47.22
XP_025336449.1,286,31.82
XP_025334694.1,531,59.87
XP_025338653.1,467,53.73
XP_025338672.1,401,43.93
XP_025338467.1,286,31.58
XP_025336975.1,269,29.7
XP_025335234.1,230,25.41
XP_025339342.1,255,29.01
XP_025338248.1,336,37.31
XP_025336563.1,219,23.27
XP_025335719.1,228,24.94
XP_025337447.1,1015,114.23
XP_025338638.1,144,15.67
XP_025335269.1,315,35.09
XP_025336974.1,258,27.69
XP_025337802.1,338,37.35
XP_025337734.1,331,34.41
XP_025337865.1,575,63.21
XP_025336935.1,162,18.55
XP_025335518.1,398,42.69
XP_025339216.1,316,35.99
XP_025337299.1,249,27.57
XP_025334535.1,767,86.78
XP_025334697.1,665,72.55
XP_025338902.1,417,46.73
XP_025335034.1,412,46.29
XP_025337984.1,482,54.23
XP_025337853.1,125,13.93
XP_025339338.1,748,87.36
XP_025337444.1,582,65.42
XP_025337665.1,409,45.46
XP_025337441.1,517,56.86
XP_025336285.1,332,35.98
XP_025339299.1,301,35.03
XP_025336124.1,361,42.42
XP_025334785.1,609,68.34
XP_025339538.1,306,35.83
XP_025339444.1,528,61.22
XP_025339439.1,751,84.15
XP_025336393.1,487,52.34
XP_025334545.1,398,44.26
XP_025336857.1,767,85.98
XP_025337461.1,205,22.96
XP_025335683.1,1108,123.33
XP_025335694.1,566,62.38
XP_025335766.1,453,50.52
XP_025337598.1,550,60.14
XP_025337125.1,180,21.31
XP_025335100.1,604,68.48
XP_025337811.1,486,53.03
XP_025337781.1,487,53.88
XP_025337057.1,469,51.98
XP_025339091.1,440,50.69
XP_025334802.1,428,47.23
XP_025335660.1,426,46.86
XP_025336973.1,492,57.17
XP_025337806.1,501,57.45
XP_025334597.1,825,94.2
XP_025337380.1,1128,128.17
XP_025336214.1,1933,220.21
XP_025337531.1,409,47.17
XP_025337297.1,630,69.65
XP_025339159.1,551,61.24
XP_025334713.1,504,55.57
XP_025339008.1,367,40.33
XP_025338759.1,551,62.32
XP_025339065.1,369,40.73
XP_025334547.1,161,18.25
XP_025338309.1,162,18.31
XP_025335906.1,500,53.99
XP_025338598.1,1268,142.74
XP_025337758.1,524,57.44
XP_025337526.1,396,43.89
XP_025338436.1,319,36.17
XP_025338631.1,709,79.53
XP_025338172.1,648,73.32
XP_025336769.1,298,34.02
XP_025334744.1,335,36.47
XP_025336102.1,2208,244.16
XP_025339542.1,421,47.14
XP_025336296.1,551,62.86
XP_025335108.1,298,33.62
XP_025339362.1,248,27.38
XP_025339156.1,254,29.47
XP_025335664.1,323,35.56
XP_025339261.1,394,42.72
XP_025338274.1,845,94.71
XP_025336479.1,399,43.88
XP_025336801.1,453,49.23
XP_025338050.1,291,32.0
XP_025335494.1,642,71.33
XP_025338203.1,483,55.02
XP_025337745.1,877,99.79
XP_025337094.1,473,51.92
XP_025334877.1,325,35.42
XP_025335049.1,565,63.54
XP_025335743.1,391,44.52
XP_025338628.1,220,24.1
XP_025336000.1,426,46.89
XP_025335070.1,1277,146.72
XP_025335019.1,1888,216.2
XP_025334407.1,424,48.55
XP_025335627.1,787,88.04
XP_025335996.1,428,49.79
XP_025339050.1,414,47.66
XP_025337070.1,559,63.39
XP_025337759.1,454,50.78
XP_025334812.1,400,41.62
XP_025335068.1,2183,243.23
XP_025338368.1,248,26.69
XP_025337582.1,531,58.7
XP_025335211.1,629,68.8
XP_025335144.1,155,16.77
XP_025338553.1,259,29.69
XP_025335538.1,157,17.47
XP_025334470.1,172,19.27
XP_025338620.1,517,57.25
XP_025336572.1,421,46.49
XP_025337064.1,1076,120.95
XP_025338179.1,250,27.99
XP_025338134.1,332,35.97
XP_025337457.1,445,48.96
XP_025335801.1,550,60.58
XP_025337872.1,365,39.65
XP_025336206.1,373,40.86
XP_025336571.1,437,48.92
XP_025338714.1,352,39.22
XP_025334622.1,399,43.63
XP_025338294.1,396,42.73
XP_025337223.1,293,33.07
XP_025336643.1,231,25.96
XP_025337091.1,271,30.31
XP_025337439.1,522,59.74
XP_025339290.1,311,34.46
XP_025339461.1,315,35.1
XP_025335051.1,488,54.95
XP_025338354.1,416,44.53
XP_025338507.1,378,41.53
XP_025339396.1,398,43.78
XP_025336149.1,489,54.97
XP_025335826.1,450,49.72
XP_025334843.1,341,36.87
XP_025335042.1,291,32.15
XP_025338322.1,356,38.81
XP_025338376.1,932,103.18
XP_025334641.1,580,63.38
XP_025338970.1,392,42.89
XP_025336054.1,153,16.35
XP_025336462.1,470,51.78
XP_025336823.1,214,24.89
XP_025339287.1,376,40.91
XP_025338627.1,366,39.57
XP_025335395.1,607,67.98
XP_025335539.1,1423,160.37
XP_025338192.1,333,36.24
XP_025339222.1,165,18.11
XP_025337522.1,328,36.62
XP_025336885.1,582,66.83
XP_025335884.1,435,46.28
XP_025334378.1,502,57.32
XP_025338675.1,1053,119.98
XP_025338321.1,318,35.23
XP_025337191.1,295,32.95
XP_025336842.1,531,61.0
XP_025334611.1,254,28.72
XP_025336656.1,236,25.68
XP_025334764.1,355,40.39
XP_025338992.1,218,24.7
XP_025334918.1,470,52.07
XP_025334557.1,501,54.99
XP_025337158.1,374,42.7
XP_025338603.1,427,46.8
XP_025338410.1,508,55.5
XP_025334585.1,757,83.35
XP_025338758.1,507,57.48
XP_025339180.1,1355,151.27
XP_025337673.1,806,92.31
XP_025339005.1,478,53.14
XP_025336757.1,466,51.41
XP_025338263.1,219,23.58
XP_025336822.1,155,17.71
XP_025336928.1,144,16.18
XP_025337147.1,149,16.69
XP_025337693.1,348,39.46
XP_025334949.1,230,25.19
XP_025335046.1,748,80.57
XP_025338554.1,415,45.5
XP_025336863.1,275,30.75
XP_025336807.1,529,58.81
XP_025336349.1,301,34.39
XP_025339339.1,317,34.15
XP_025338378.1,1255,141.08
XP_025336364.1,589,66.52
XP_025335030.1,496,55.81
XP_025339117.1,630,72.25
XP_025334725.1,362,38.8
XP_025334763.1,370,40.8
XP_025334554.1,368,39.73
XP_025335003.1,228,26.06
XP_025339288.1,850,96.5
XP_025335474.1,468,51.62
XP_025338520.1,973,110.54
XP_025338144.1,1080,123.64
XP_025334448.1,558,60.66
XP_025339358.1,633,70.04
XP_025336983.1,295,32.66
XP_025334455.1,287,32.07
XP_025335607.1,521,56.16
XP_025336030.1,498,55.56
XP_025335187.1,238,26.69
XP_025337733.1,655,75.77
XP_025337079.1,619,68.72
XP_025337119.1,271,30.18
XP_025338371.1,594,68.35
XP_025335844.1,544,61.33
XP_025339021.1,514,57.58
XP_025337324.1,2018,225.42
XP_025335194.1,834,92.55
XP_025336269.1,388,43.17
XP_025337772.1,366,39.16
XP_025337604.1,273,31.06
XP_025338734.1,309,35.28
XP_025338722.1,1022,115.04
XP_025337661.1,866,97.18
XP_025336401.1,753,86.1
XP_025334770.1,707,80.93
XP_025336411.1,755,86.5
XP_025334780.1,216,23.83
XP_025338905.1,401,45.5
XP_025336471.1,1003,113.86
XP_025337016.1,541,62.88
XP_025337941.1,446,49.59
XP_025336996.1,762,82.29
XP_025337794.1,289,32.21
XP_025336624.1,351,38.49
XP_025336037.1,592,67.09
XP_025336799.1,545,62.0
XP_025334821.1,358,39.56
XP_025339365.1,340,37.64
XP_025338100.1,463,52.04
XP_025338068.1,299,33.8
XP_025337605.1,326,36.49
XP_025334396.1,369,41.18
XP_025337757.1,359,41.15
XP_025334845.1,981,110.86
XP_025336881.1,604,68.81
XP_025334825.1,642,71.88
XP_025338717.1,423,47.69
XP_025335410.1,212,23.28
XP_025336774.1,1302,141.47
XP_025337330.1,268,32.09
XP_025335406.1,781,87.76
XP_025338098.1,1673,191.49
XP_025336967.1,219,23.87
XP_025338552.1,376,41.2
XP_025337854.1,166,18.46
XP_025338435.1,300,32.53
XP_025335970.1,211,24.52
XP_025339385.1,449,48.76
XP_025336594.1,442,49.09
XP_025338293.1,525,58.11
XP_025336331.1,382,43.56
XP_025337080.1,1255,141.59
XP_025337825.1,820,91.87
XP_025335417.1,1421,159.37
XP_025338678.1,587,67.4
XP_025335793.1,720,79.82
XP_025335667.1,458,51.95
XP_025336313.1,951,105.68
XP_025336555.1,981,109.01
XP_025337400.1,860,94.86
XP_025335325.1,424,47.42
XP_025338634.1,709,82.28
XP_025339054.1,450,51.23
XP_025335840.1,1120,125.11
XP_025334871.1,393,45.71
XP_025339245.1,838,95.54
XP_025339072.1,1031,116.76
XP_025334806.1,488,54.65
XP_025337870.1,1189,134.14
XP_025338704.1,2377,270.82
XP_025336914.1,1069,122.41
XP_025339213.1,2701,304.29
XP_025339537.1,254,26.79
XP_025336915.1,355,40.27
XP_025335293.1,437,48.12
XP_025335340.1,642,70.94
XP_025338220.1,515,57.38
XP_025335150.1,313,36.44
XP_025338955.1,329,38.98
XP_025336023.1,1347,146.43
XP_025336542.1,472,53.35
XP_025337440.1,501,55.03
XP_025337323.1,311,34.78
XP_025335204.1,284,31.7
XP_025335228.1,457,50.93
XP_025336894.1,458,52.27
XP_025338755.1,188,22.0
XP_025335969.1,413,47.41
XP_025336855.1,1478,167.3
XP_025337896.1,494,54.68
XP_025337131.1,247,28.04
XP_025337832.1,252,27.58
XP_025337222.1,563,63.73
XP_025337620.1,152,17.2
XP_025336069.1,273,31.39
XP_025337140.1,387,43.83
XP_025336290.1,368,40.81
XP_025334420.1,421,47.93
XP_025339280.1,344,38.18
XP_025338423.1,314,34.97
XP_025339024.1,1021,110.12
XP_025338735.1,307,35.39
XP_025339041.1,605,68.94
XP_025339440.1,1127,126.58
XP_025336747.1,678,76.62
XP_025337001.1,340,37.49
XP_025338973.1,331,35.57
XP_025336458.1,590,65.72
XP_025335297.1,376,40.57
XP_025334902.1,508,56.8
XP_025337728.1,373,40.27
XP_025339357.1,475,52.94
XP_025338622.1,379,41.33
XP_025336840.1,266,29.45
XP_025334844.1,243,26.59
XP_025334760.1,294,32.8
XP_025337937.1,304,34.51
XP_025339017.1,284,31.52
XP_025335587.1,393,44.5
XP_025336407.1,1410,155.77
XP_025334893.1,371,39.67
XP_025336999.1,362,40.03
XP_025336062.1,1685,188.32
XP_025339019.1,535,58.31
XP_025337486.1,572,64.08
XP_025337925.1,615,68.3
XP_025334609.1,430,46.49
XP_025338291.1,310,35.68
XP_025338344.1,589,64.26
XP_025337819.1,307,34.92
XP_025336495.1,343,37.65
XP_025337972.1,456,52.65
XP_025337643.1,793,89.67
XP_025339099.1,331,35.37
XP_025336410.1,332,35.45
XP_025339345.1,575,64.12
XP_025339112.1,1719,192.21
XP_025335814.1,265,30.68
XP_025338701.1,461,53.39
XP_025337836.1,259,30.03
XP_025337260.1,545,60.57
XP_025336600.1,280,31.58
XP_025339253.1,161,18.08
XP_025335362.1,658,72.21
XP_025339493.1,345,38.78
XP_025336448.1,385,42.47
