gene,length_aa,MW_kDa
CPAR2_300130,673,78.82
CPAR2_200520,235,25.57
CPAR2_110100,313,36.81
CPAR2_800720,802,90.83
CPAR2_602630,282,31.32
CPAR2_600450,567,63.18
CPAR2_703580,579,64.96
CPAR2_400810,414,45.82
CPAR2_213230,571,62.99
CPAR2_204520,832,94.12
CPAR2_703100,340,39.62
CPAR2_211290,156,17.58
CPAR2_407440,297,34.21
CPAR2_107390,1108,121.58
CPAR2_109570,244,27.07
CPAR2_703590,575,64.52
CPAR2_601750,608,67.21
CPAR2_703350,918,104.39
CPAR2_200990,663,74.36
CPAR2_503720,240,25.74
CPAR2_502630,1110,125.74
CPAR2_800750,588,64.55
CPAR2_501780,358,38.83
CPAR2_602600,292,32.3
CPAR2_700080,559,62.72
CPAR2_500690,688,74.58
CPAR2_202590,182,20.73
CPAR2_203440,379,41.89
CPAR2_102940,231,25.26
CPAR2_101850,485,54.87
CPAR2_202110,252,28.69
CPAR2_806050,213,23.2
CPAR2_207800,259,29.53
CPAR2_406100,341,36.77
CPAR2_806290,557,62.42
CPAR2_405010,376,42.99
CPAR2_206710,1091,120.38
CPAR2_302570,300,34.19
CPAR2_303420,581,65.7
CPAR2_107160,282,29.77
CPAR2_601520,349,38.52
CPAR2_200980,906,101.12
CPAR2_601760,577,63.49
CPAR2_301480,514,57.19
CPAR2_502880,427,48.88
CPAR2_806640,989,113.67
CPAR2_804220,641,70.47
CPAR2_805790,211,23.76
CPAR2_806880,311,34.68
CPAR2_211870,758,87.88
CPAR2_700010,441,47.08
CPAR2_105340,547,58.93
CPAR2_105580,711,82.91
CPAR2_601970,454,50.7
CPAR2_602820,160,17.11
CPAR2_601730,619,69.0
CPAR2_600400,383,41.78
CPAR2_200170,670,75.23
CPAR2_502890,268,29.81
CPAR2_807720,711,79.18
CPAR2_213820,403,44.56
CPAR2_803120,446,49.45
CPAR2_211400,486,53.94
CPAR2_212970,394,41.72
CPAR2_700020,294,33.33
CPAR2_703530,256,28.94
CPAR2_104260,302,33.14
CPAR2_102090,585,66.3
CPAR2_303040,303,34.69
CPAR2_601740,612,67.97
CPAR2_600890,203,22.17
CPAR2_503750,619,69.76
CPAR2_501330,650,72.15
CPAR2_503990,254,28.36
CPAR2_807710,711,79.07
CPAR2_806620,383,42.13
CPAR2_804200,372,41.37
CPAR2_211650,706,79.43
CPAR2_300800,352,38.03
CPAR2_400610,274,31.08
CPAR2_212740,498,55.8
CPAR2_109920,588,65.98
CPAR2_212980,338,37.86
CPAR2_106650,241,27.04
CPAR2_303080,191,21.19
CPAR2_104230,341,38.63
CPAR2_701120,284,31.75
CPAR2_105320,280,31.01
CPAR2_201850,473,52.0
CPAR2_202700,329,37.9
CPAR2_104470,1054,119.73
CPAR2_407250,524,58.46
CPAR2_703790,466,52.45
CPAR2_503520,370,40.86
CPAR2_200150,474,51.63
CPAR2_601950,368,40.25
CPAR2_804230,502,54.59
CPAR2_806650,576,64.18
CPAR2_805320,418,47.9
CPAR2_213600,302,34.33
CPAR2_806890,584,64.34
CPAR2_109930,584,68.59
CPAR2_106660,292,31.93
CPAR2_701130,658,72.22
CPAR2_703310,373,40.6
CPAR2_601960,496,56.47
CPAR2_700050,727,80.54
CPAR2_500020,1519,173.86
CPAR2_503530,587,63.76
CPAR2_500260,222,25.15
CPAR2_208260,529,58.83
CPAR2_805110,463,50.2
CPAR2_806200,285,32.01
CPAR2_805350,568,65.16
CPAR2_805590,224,25.07
CPAR2_210100,418,46.83
CPAR2_803170,766,86.95
CPAR2_109500,554,61.53
CPAR2_105380,268,28.6
CPAR2_109980,1042,119.8
CPAR2_104050,312,35.69
CPAR2_106230,875,96.42
CPAR2_703720,342,38.47
CPAR2_601930,397,43.65
CPAR2_503540,605,68.13
CPAR2_502690,581,66.98
CPAR2_208270,335,37.08
CPAR2_400420,238,25.93
CPAR2_804250,553,60.64
CPAR2_210110,703,81.47
CPAR2_802070,577,63.88
CPAR2_703970,522,60.39
CPAR2_703730,222,25.0
CPAR2_701310,477,53.12
CPAR2_106240,234,27.2
CPAR2_304330,558,64.17
CPAR2_302390,537,58.26
CPAR2_201450,300,32.81
CPAR2_208280,993,112.91
CPAR2_503550,329,36.14
CPAR2_208040,302,32.98
CPAR2_500040,421,46.4
CPAR2_401740,711,82.08
CPAR2_807310,357,41.01
CPAR2_501390,711,76.61
CPAR2_807550,494,54.85
CPAR2_210120,713,80.02
CPAR2_700230,563,62.93
CPAR2_807790,599,68.52
CPAR2_211690,866,97.6
CPAR2_109720,292,33.47
CPAR2_203830,505,55.99
CPAR2_108630,651,72.79
CPAR2_702410,276,30.45
CPAR2_703500,421,48.54
CPAR2_304120,442,50.06
CPAR2_407290,524,58.72
CPAR2_304360,382,44.09
CPAR2_501140,279,29.99
CPAR2_501380,454,49.13
CPAR2_402820,331,37.05
CPAR2_400400,402,45.65
CPAR2_804030,1728,199.69
CPAR2_212310,291,33.34
CPAR2_700480,340,38.74
CPAR2_108400,1400,155.19
CPAR2_109970,155,17.69
CPAR2_106460,253,28.76
CPAR2_407040,407,46.66
CPAR2_304350,503,57.27
CPAR2_303020,192,21.09
CPAR2_700490,1300,146.37
CPAR2_500060,370,40.0
CPAR2_808860,220,24.81
CPAR2_501150,279,30.1
CPAR2_204260,473,52.82
CPAR2_701500,387,42.49
CPAR2_503590,187,21.86
CPAR2_203170,424,48.58
CPAR2_501170,281,30.06
CPAR2_803890,551,62.46
CPAR2_206680,129,15.46
CPAR2_101020,449,49.05
CPAR2_214060,189,20.96
CPAR2_300620,583,66.94
CPAR2_806910,267,31.22
CPAR2_802550,428,47.95
CPAR2_801460,333,39.11
CPAR2_501160,279,30.09
CPAR2_804970,561,62.34
CPAR2_203180,227,25.78
CPAR2_803640,428,48.04
CPAR2_503580,617,67.56
CPAR2_207540,583,64.96
CPAR2_400100,525,59.09
CPAR2_802790,219,23.85
CPAR2_207780,485,54.9
CPAR2_800370,398,45.01
CPAR2_404940,647,69.54
CPAR2_403610,850,97.65
CPAR2_106960,669,73.64
CPAR2_103450,324,36.76
CPAR2_105870,121,14.81
CPAR2_104540,337,37.27
CPAR2_701750,340,37.55
CPAR2_800360,768,85.09
CPAR2_210710,438,49.35
CPAR2_803630,365,39.34
CPAR2_800120,297,32.92
CPAR2_803670,527,58.89
CPAR2_801250,414,46.89
CPAR2_802580,229,26.33
CPAR2_402510,500,57.16
CPAR2_208400,793,85.12
CPAR2_102570,719,81.32
CPAR2_101480,591,65.33
CPAR2_806930,247,28.05
CPAR2_805840,294,31.55
CPAR2_301970,488,56.11
CPAR2_211810,248,27.67
CPAR2_205380,487,55.32
CPAR2_801000,594,62.97
CPAR2_502030,218,24.58
CPAR2_804750,350,37.17
CPAR2_404920,423,46.67
CPAR2_204050,529,58.1
CPAR2_402740,1356,154.26
CPAR2_102100,514,57.23
CPAR2_801480,544,59.48
CPAR2_106940,646,69.79
CPAR2_103670,350,39.11
CPAR2_703950,413,44.89
CPAR2_400560,238,25.93
CPAR2_806920,244,27.77
CPAR2_804740,681,74.48
CPAR2_801230,324,36.45
CPAR2_504220,514,56.54
CPAR2_301960,681,76.92
CPAR2_300630,596,68.61
CPAR2_208420,326,35.45
CPAR2_210740,386,43.01
CPAR2_801030,310,34.9
CPAR2_603160,500,56.06
CPAR2_103000,291,32.32
CPAR2_103240,306,32.79
CPAR2_103480,568,61.55
CPAR2_206490,440,49.67
CPAR2_806710,355,39.1
CPAR2_204070,1329,145.73
CPAR2_210750,541,58.92
CPAR2_803680,970,110.46
CPAR2_602080,393,42.73
CPAR2_106760,496,54.13
CPAR2_102160,458,52.67
CPAR2_101070,996,110.56
CPAR2_403890,524,58.39
CPAR2_401230,359,39.67
CPAR2_104580,521,56.24
CPAR2_806940,247,28.33
CPAR2_804760,533,59.61
CPAR2_804560,356,39.11
CPAR2_803230,415,49.05
CPAR2_206020,485,53.82
CPAR2_405820,284,31.7
CPAR2_107820,652,73.83
CPAR2_105400,1163,130.95
CPAR2_104790,392,43.06
CPAR2_603140,397,44.46
CPAR2_602050,578,63.44
CPAR2_805400,755,84.66
CPAR2_209780,625,70.25
CPAR2_805640,1012,115.44
CPAR2_804310,583,64.49
CPAR2_805880,574,65.02
CPAR2_209300,117,13.05
CPAR2_405810,677,74.98
CPAR2_211620,234,25.87
CPAR2_502090,509,56.5
CPAR2_105890,718,83.23
CPAR2_106980,254,29.75
CPAR2_401690,213,23.36
CPAR2_603150,163,18.14
CPAR2_103230,301,33.51
CPAR2_400120,843,94.03
CPAR2_201150,297,33.01
CPAR2_207370,307,35.45
CPAR2_806720,352,39.11
CPAR2_805630,406,44.99
CPAR2_100570,585,63.93
CPAR2_203330,505,55.96
CPAR2_103840,349,38.59
CPAR2_401280,324,35.82
CPAR2_603360,158,18.31
CPAR2_602270,367,41.16
CPAR2_406730,297,33.93
CPAR2_601180,358,39.22
CPAR2_600090,675,73.44
CPAR2_404310,342,36.18
CPAR2_301550,353,39.35
CPAR2_603350,282,30.57
CPAR2_801860,432,49.95
CPAR2_802710,537,59.31
CPAR2_303730,352,38.53
CPAR2_504050,460,52.25
CPAR2_102760,651,72.94
CPAR2_202250,590,64.67
CPAR2_203100,577,66.67
CPAR2_207700,364,40.72
CPAR2_403210,174,18.97
CPAR2_404540,303,33.59
CPAR2_212290,1006,114.64
CPAR2_300450,404,44.66
CPAR2_802700,543,60.59
CPAR2_800760,639,70.52
CPAR2_802940,369,40.0
CPAR2_104910,451,49.26
CPAR2_101880,274,30.82
CPAR2_203350,370,41.31
CPAR2_205530,596,66.76
CPAR2_213150,336,37.47
CPAR2_213390,239,26.73
CPAR2_303990,773,88.35
CPAR2_300480,562,63.75
CPAR2_109130,157,16.72
CPAR2_601150,267,30.16
CPAR2_701930,387,43.78
CPAR2_402580,643,75.05
CPAR2_403670,573,63.23
CPAR2_603590,633,71.84
CPAR2_400160,462,49.68
CPAR2_602260,637,70.53
CPAR2_302650,2047,229.63
CPAR2_804900,439,47.94
CPAR2_800540,944,105.39
CPAR2_803810,893,102.63
CPAR2_802720,525,58.38
CPAR2_303740,522,59.48
CPAR2_800780,320,35.97
CPAR2_206880,1077,122.24
CPAR2_204460,169,19.45
CPAR2_100130,591,62.95
CPAR2_102550,720,80.76
CPAR2_206400,958,107.36
CPAR2_103640,676,77.0
CPAR2_209910,420,47.22
CPAR2_100370,411,46.74
CPAR2_500950,287,31.75
CPAR2_802990,531,60.06
CPAR2_303930,444,51.07
CPAR2_302840,356,41.38
CPAR2_800330,298,32.63
CPAR2_205560,269,29.65
CPAR2_102320,753,85.4
CPAR2_202050,552,62.84
CPAR2_205320,799,87.11
CPAR2_405430,740,84.53
CPAR2_407610,342,38.17
CPAR2_406760,444,50.71
CPAR2_402160,440,48.09
CPAR2_404580,349,38.83
CPAR2_104980,244,28.08
CPAR2_102560,720,80.83
CPAR2_404100,543,60.2
CPAR2_404590,1387,157.33
CPAR2_801410,307,36.38
CPAR2_801890,770,87.8
CPAR2_301740,1022,114.88
CPAR2_207990,385,42.31
CPAR2_105800,751,84.96
CPAR2_205570,269,29.76
CPAR2_401060,418,46.01
CPAR2_407600,325,35.53
CPAR2_101680,397,45.23
CPAR2_100590,270,30.55
CPAR2_603530,576,64.0
CPAR2_300680,587,65.47
CPAR2_804710,168,19.25
CPAR2_800350,300,32.81
CPAR2_203160,2208,244.04
CPAR2_204490,287,31.9
CPAR2_209700,523,58.16
CPAR2_103870,382,42.78
CPAR2_402140,759,85.79
CPAR2_402380,394,43.51
CPAR2_600270,295,32.95
CPAR2_704170,141,16.5
CPAR2_300670,518,57.08
CPAR2_808060,342,37.48
CPAR2_603540,462,52.01
CPAR2_301760,558,62.17
CPAR2_800340,300,32.71
CPAR2_803850,487,55.48
CPAR2_303940,303,32.76
CPAR2_806120,766,85.15
CPAR2_805030,308,32.51
CPAR2_805270,786,88.4
CPAR2_203970,369,41.05
CPAR2_202640,280,31.81
CPAR2_109420,324,33.72
CPAR2_407300,524,58.73
CPAR2_303330,255,29.14
CPAR2_105070,419,46.57
CPAR2_404040,360,40.63
CPAR2_200210,419,45.98
CPAR2_602300,318,36.54
CPAR2_301390,562,62.33
CPAR2_800810,463,51.62
CPAR2_110410,623,68.92
CPAR2_201540,665,72.8
CPAR2_303570,439,49.79
CPAR2_301150,296,31.75
CPAR2_808790,208,23.61
CPAR2_200690,720,78.87
CPAR2_208190,560,61.41
CPAR2_100620,577,64.62
CPAR2_213300,118,13.36
CPAR2_803080,531,60.06
CPAR2_213540,376,42.1
CPAR2_212210,497,53.65
CPAR2_203980,501,54.1
CPAR2_213780,684,74.55
CPAR2_203740,305,35.21
CPAR2_212690,193,22.01
CPAR2_203500,516,57.32
CPAR2_108340,545,60.57
CPAR2_109680,1592,184.49
CPAR2_106170,365,42.63
CPAR2_702170,487,55.34
CPAR2_703260,269,29.15
CPAR2_110420,295,32.81
CPAR2_402090,1179,129.78
CPAR2_704350,294,32.32
CPAR2_500520,518,57.66
CPAR2_102800,1001,113.41
CPAR2_807230,755,84.96
CPAR2_806380,1104,122.53
CPAR2_213310,1256,142.98
CPAR2_805290,483,51.32
CPAR2_203510,512,57.1
CPAR2_205930,530,60.21
CPAR2_108550,280,31.79
CPAR2_107220,669,76.41
CPAR2_108790,485,53.9
CPAR2_106130,504,55.6
CPAR2_407520,609,68.22
CPAR2_702180,250,29.11
CPAR2_800830,590,66.8
CPAR2_300080,233,26.57
CPAR2_703270,1138,127.36
CPAR2_703030,952,104.45
CPAR2_502950,898,97.92
CPAR2_209060,282,31.4
CPAR2_808770,333,37.24
CPAR2_205940,492,52.75
CPAR2_406420,400,44.23
CPAR2_203520,502,55.17
CPAR2_205700,790,85.75
CPAR2_106140,671,75.08
CPAR2_105050,651,70.08
CPAR2_407750,743,84.16
CPAR2_107230,520,58.61
CPAR2_703280,210,23.62
CPAR2_601200,463,52.47
CPAR2_602530,156,17.02
CPAR2_303580,937,106.4
CPAR2_500540,552,60.45
CPAR2_400710,421,46.13
CPAR2_102830,332,37.4
CPAR2_203530,522,58.88
CPAR2_703200,465,50.91
CPAR2_407100,255,28.73
CPAR2_301110,725,82.6
CPAR2_110210,466,51.82
CPAR2_200650,520,58.06
CPAR2_405170,352,39.5
CPAR2_808110,733,84.16
CPAR2_101990,115,13.19
CPAR2_807240,754,84.6
CPAR2_100420,185,21.41
CPAR2_206810,2128,235.87
CPAR2_203300,631,69.63
CPAR2_703450,1087,118.52
CPAR2_704300,1641,184.77
CPAR2_210070,288,32.18
CPAR2_302670,545,61.25
CPAR2_200640,684,75.48
CPAR2_800600,987,106.55
CPAR2_405160,366,39.99
CPAR2_200880,567,62.35
CPAR2_701040,619,68.31
CPAR2_502980,465,54.8
CPAR2_808120,742,85.97
CPAR2_501890,378,42.59
CPAR2_603600,627,71.99
CPAR2_100870,318,35.05
CPAR2_204880,549,61.54
CPAR2_400930,311,36.29
CPAR2_101960,541,62.47
CPAR2_205730,455,52.77
CPAR2_108350,541,60.24
CPAR2_210080,553,59.62
CPAR2_303550,567,62.36
CPAR2_108360,543,60.06
CPAR2_110430,383,42.14
CPAR2_406240,683,74.55
CPAR2_702380,645,72.01
CPAR2_503600,384,43.14
CPAR2_600780,289,31.89
CPAR2_702140,402,43.29
CPAR2_803900,658,73.27
CPAR2_500330,154,15.92
CPAR2_501660,492,53.75
CPAR2_808330,527,59.03
CPAR2_103910,491,54.02
CPAR2_704320,415,46.19
CPAR2_205500,275,30.52
CPAR2_213120,455,51.1
CPAR2_212270,213,24.18
CPAR2_109450,478,54.52
CPAR2_407310,525,58.77
CPAR2_108370,543,60.16
CPAR2_107280,967,107.19
CPAR2_200620,387,42.43
CPAR2_405140,715,79.08
CPAR2_802800,767,85.88
CPAR2_601880,275,29.84
CPAR2_502760,240,27.12
CPAR2_303300,518,58.52
CPAR2_803010,1159,127.93
CPAR2_211750,337,38.44
CPAR2_401600,308,33.91
CPAR2_803490,250,26.7
CPAR2_302090,483,53.02
CPAR2_304270,341,37.91
CPAR2_106550,496,56.37
CPAR2_701460,352,38.93
CPAR2_703640,492,54.05
CPAR2_106310,538,61.22
CPAR2_303180,320,34.75
CPAR2_400990,267,28.88
CPAR2_304260,415,45.63
CPAR2_700380,568,61.12
CPAR2_602700,215,24.4
CPAR2_502770,353,39.59
CPAR2_602940,650,73.3
CPAR2_501440,188,21.0
CPAR2_207260,525,58.86
CPAR2_807600,724,81.78
CPAR2_209680,525,58.75
CPAR2_805420,755,84.34
CPAR2_808950,275,31.3
CPAR2_208110,499,54.69
CPAR2_213940,355,38.69
CPAR2_212850,572,63.6
CPAR2_701230,264,29.41
CPAR2_702320,419,47.9
CPAR2_703410,485,54.79
CPAR2_602950,417,44.97
CPAR2_601860,397,43.65
CPAR2_406050,435,48.18
CPAR2_502300,900,102.94
CPAR2_503870,506,56.79
CPAR2_200280,367,39.59
CPAR2_207030,400,44.0
CPAR2_208360,299,32.38
CPAR2_808960,434,47.48
CPAR2_209690,525,58.5
CPAR2_805410,755,84.22
CPAR2_207270,525,58.94
CPAR2_400970,301,35.38
CPAR2_804120,416,46.24
CPAR2_808920,884,94.18
CPAR2_212620,554,61.22
CPAR2_208120,265,30.35
CPAR2_212860,558,62.09
CPAR2_801090,596,65.26
CPAR2_211770,341,37.38
CPAR2_304050,613,69.77
CPAR2_202820,460,48.12
CPAR2_500130,251,29.14
CPAR2_300920,302,34.17
CPAR2_501220,417,46.41
CPAR2_502790,262,28.46
CPAR2_209460,487,52.73
CPAR2_804110,446,51.87
CPAR2_807860,729,79.5
CPAR2_400720,440,49.79
CPAR2_108720,882,100.03
CPAR2_210690,536,59.81
CPAR2_404090,497,54.2
CPAR2_701260,341,38.52
CPAR2_201110,205,23.48
CPAR2_201350,311,33.27
CPAR2_500140,565,65.45
CPAR2_403820,573,63.1
CPAR2_401640,413,45.87
CPAR2_805230,656,73.0
CPAR2_402730,464,52.91
CPAR2_804380,237,26.7
CPAR2_700570,388,43.34
CPAR2_201990,323,36.08
CPAR2_211790,286,31.59
CPAR2_701660,753,83.97
CPAR2_109620,590,65.38
CPAR2_703840,465,53.02
CPAR2_702750,190,20.93
CPAR2_104170,305,34.88
CPAR2_400790,588,65.81
CPAR2_202600,324,35.77
CPAR2_103090,562,63.95
CPAR2_303130,309,34.01
CPAR2_302040,429,47.61
CPAR2_201340,328,37.76
CPAR2_208390,777,88.97
CPAR2_503420,303,32.5
CPAR2_100810,1167,132.03
CPAR2_808750,295,32.76
CPAR2_209240,504,55.49
CPAR2_500390,154,16.07
CPAR2_807400,1884,206.94
CPAR2_402720,848,92.52
CPAR2_401630,294,33.53
CPAR2_700100,421,46.46
CPAR2_402960,550,62.16
CPAR2_807880,362,39.92
CPAR2_202850,721,81.49
CPAR2_109870,304,34.49
CPAR2_105270,545,60.68
CPAR2_104190,1055,118.98
CPAR2_407180,810,92.18
CPAR2_100820,316,34.22
CPAR2_209010,479,52.02
CPAR2_502340,266,28.61
CPAR2_209250,318,35.29
CPAR2_502580,403,43.08
CPAR2_208160,560,61.41
CPAR2_402950,388,42.2
CPAR2_700110,585,65.5
CPAR2_210240,242,26.76
CPAR2_806580,513,56.81
CPAR2_210000,330,38.32
CPAR2_107420,1354,152.53
CPAR2_105000,493,57.29
CPAR2_701680,1400,156.82
CPAR2_701440,298,33.96
CPAR2_210480,485,54.43
CPAR2_204800,258,28.15
CPAR2_400770,584,68.59
CPAR2_104150,302,34.69
CPAR2_407170,384,41.41
CPAR2_201320,227,24.71
CPAR2_501020,566,62.24
CPAR2_808970,1273,143.93
CPAR2_500190,295,33.96
CPAR2_213520,404,45.65
CPAR2_700120,603,67.27
CPAR2_402700,431,46.63
CPAR2_303390,793,88.59
CPAR2_105250,343,39.41
CPAR2_406070,377,42.38
CPAR2_302050,148,16.66
CPAR2_103080,244,26.5
CPAR2_304230,892,102.24
CPAR2_200220,542,61.73
CPAR2_201790,577,63.3
CPAR2_503690,401,42.9
CPAR2_601800,298,33.28
CPAR2_703800,617,69.83
CPAR2_208980,1071,120.24
CPAR2_402410,462,51.73
CPAR2_404830,184,21.39
CPAR2_209830,296,33.66
CPAR2_206320,1302,148.33
CPAR2_400470,332,34.8
CPAR2_702950,558,64.05
CPAR2_100050,485,54.35
CPAR2_400230,457,49.31
CPAR2_803760,903,103.17
CPAR2_800250,924,104.69
CPAR2_805940,570,62.54
CPAR2_210820,190,20.97
CPAR2_802670,562,60.42
CPAR2_600800,316,36.18
CPAR2_300740,626,69.05
CPAR2_204150,276,28.78
CPAR2_703810,548,61.66
CPAR2_401310,558,63.76
CPAR2_800490,1814,206.44
CPAR2_106840,191,20.91
CPAR2_209600,425,48.61
CPAR2_101390,151,16.86
CPAR2_400460,332,36.08
CPAR2_402640,174,18.96
CPAR2_702960,550,63.64
CPAR2_101150,747,85.07
CPAR2_100060,362,42.31
CPAR2_701630,921,104.57
CPAR2_300730,579,64.01
CPAR2_803510,335,37.35
CPAR2_804600,563,63.35
CPAR2_802660,861,98.6
CPAR2_801570,235,26.93
CPAR2_800240,922,104.64
CPAR2_803750,337,36.05
CPAR2_206340,320,34.99
CPAR2_405900,441,50.74
CPAR2_211930,2659,300.76
CPAR2_404810,216,23.92
CPAR2_800280,493,54.55
CPAR2_803790,1270,143.4
CPAR2_104630,556,63.57
CPAR2_702970,547,63.38
CPAR2_101360,398,46.11
CPAR2_703820,682,76.39
CPAR2_701400,452,49.82
CPAR2_110070,677,75.86
CPAR2_803540,328,36.06
CPAR2_300760,619,68.72
CPAR2_502150,366,42.91
CPAR2_502170,454,51.16
CPAR2_208530,326,35.46
CPAR2_403710,574,63.03
CPAR2_102220,823,92.19
CPAR2_106820,494,53.33
CPAR2_209620,223,24.27
CPAR2_103790,147,16.52
CPAR2_702980,662,71.83
CPAR2_100040,426,48.21
CPAR2_400680,459,52.08
CPAR2_101130,272,30.98
CPAR2_702740,162,17.49
CPAR2_100280,436,48.69
CPAR2_703830,312,35.6
CPAR2_201900,565,61.95
CPAR2_407080,505,55.86
CPAR2_805710,974,108.34
CPAR2_110080,339,39.58
CPAR2_504100,425,46.63
CPAR2_800020,405,42.89
CPAR2_801350,461,52.08
CPAR2_300750,572,63.19
CPAR2_204180,257,29.74
CPAR2_803530,434,47.28
CPAR2_205030,355,38.51
CPAR2_209630,451,50.58
CPAR2_210860,363,39.29
CPAR2_207210,439,47.02
CPAR2_802240,508,57.0
CPAR2_406810,198,21.62
CPAR2_107720,181,19.97
CPAR2_108810,480,52.95
CPAR2_101180,486,54.56
CPAR2_104450,286,30.96
CPAR2_106630,359,38.68
CPAR2_105540,563,63.58
CPAR2_107960,420,45.88
CPAR2_404630,418,46.88
CPAR2_700730,421,47.76
CPAR2_504110,614,67.79
CPAR2_503040,903,99.28
CPAR2_207220,461,52.61
CPAR2_701830,417,46.13
CPAR2_212810,403,41.79
CPAR2_702920,557,64.38
CPAR2_803560,530,59.07
CPAR2_106400,1909,219.37
CPAR2_107970,365,39.8
CPAR2_104460,333,36.52
CPAR2_105550,405,47.22
CPAR2_400020,1557,170.15
CPAR2_402200,272,29.08
CPAR2_603290,440,48.59
CPAR2_102040,286,33.28
CPAR2_807910,945,106.74
CPAR2_213910,937,106.23
CPAR2_700750,204,22.71
CPAR2_503050,753,84.17
CPAR2_802020,983,112.44
CPAR2_804680,724,78.83
CPAR2_105520,1825,201.13
CPAR2_211970,358,39.14
CPAR2_106850,218,24.42
CPAR2_104430,661,74.92
CPAR2_403760,745,85.14
CPAR2_603010,601,67.18
CPAR2_807700,711,79.34
CPAR2_803100,1108,122.33
CPAR2_802010,466,52.08
CPAR2_200190,365,40.65
CPAR2_804430,641,70.48
CPAR2_806850,594,65.48
CPAR2_205060,349,39.68
CPAR2_700520,300,34.16
CPAR2_207000,439,47.68
CPAR2_108800,364,41.67
CPAR2_210890,567,63.02
CPAR2_210650,733,84.13
CPAR2_304080,200,22.59
CPAR2_404840,196,21.86
CPAR2_701850,377,40.53
CPAR2_702940,559,64.43
CPAR2_301800,726,83.47
CPAR2_805510,373,40.14
CPAR2_807930,625,70.62
CPAR2_207250,525,58.74
CPAR2_804420,125,13.79
CPAR2_102630,616,70.07
CPAR2_104810,570,63.06
CPAR2_203450,383,42.1
CPAR2_204300,809,89.36
CPAR2_212160,422,48.53
CPAR2_808390,518,58.05
CPAR2_802830,515,58.18
CPAR2_101310,373,40.78
CPAR2_100220,237,25.49
CPAR2_503080,645,72.18
CPAR2_402480,1054,120.51
CPAR2_211080,398,44.36
CPAR2_108190,889,98.59
CPAR2_109280,229,25.49
CPAR2_102850,293,32.85
CPAR2_203470,532,59.84
CPAR2_207830,389,42.39
CPAR2_204320,1917,218.0
CPAR2_402470,407,46.3
CPAR2_406830,198,21.62
CPAR2_212180,1311,142.52
CPAR2_404650,1132,113.21
CPAR2_300360,92,10.48
CPAR2_200830,569,62.6
CPAR2_500810,373,41.3
CPAR2_602360,431,48.45
CPAR2_301210,437,46.22
CPAR2_103710,387,43.05
CPAR2_203480,453,49.97
CPAR2_207840,455,51.34
