reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R01710__cyto,1.0491,XP_025344481.1,C00534,2
R03217__cyto,3.436,XP_025340376.1,C01077,2
R07134__cyto,1.8596,XP_025342327.1,C01904,1
R02670__cyto,9.4337,XP_025343574.1,C00632,1
R04859__cyto,14.3325,XP_025340642.1,C00979,2
R00988__cyto,0.0905,XP_025341542.1,C05653,1
R10065__cyto,50.2,XP_025344429.1,C01245,1
R04371__cyto,1.2978,XP_025340917.1,C05662,1
R07091__cyto,43.3824,XP_025344035.1,C00051,4
R01431__cyto,5.2893,XP_025339676.1,C00379,2
R01321__cyto,5.8683,XP_025343691.1,C00307,1
R07406__cyto,8.9805,XP_025341358.1,C07335,4
R09882__mito,15.6983,XP_025344566.1,C04058,4
R00227__mito,1.3581,XP_025342529.1,C00024,2
R03648__cyto,3.6764,XP_025343821.1,C00152,2
R05616__cyto,0.372,XP_025341956.1,C01230,2
R01799__mito,81.3557,XP_025340309.1,C00063,1
R09376__cyto,2.536,XP_025342919.1,C01304,1
R11101__cyto,18.5993,XP_025342032.1,C17234,3
R00772__cyto,14.2038,XP_025343487.1,C00275,1
R02059__cyto,4.1558,XP_025343088.1,C00357,1
R01698__mito,12.9522,XP_025339830.1,C00579,1
R04751__cyto,9.8367,XP_025340905.1,C05270,3
R00937__mito,183.8702,XP_025339718.1,C00101,1
R11312__cyto,1.4094,XP_025344068.1,C20246,2
R02404__mito,1.7682,XP_025339919.1,C00490,1
R05510__cyto,6.176,XP_025343544.1,C07090,1
R09477__cyto,5.2893,XP_025339676.1,C00379,1
R05168__cyto,10.9925,XP_025341376.1,C06376,4
R04920__cyto,6.4647,XP_025343691.1,C05673,1
R02235__mito,414.7758,XP_025339718.1,C00415,1
R05506__cyto,11.3507,XP_025342531.1,C07118,8
R04144__cyto,5.7075,XP_025343214.1,C03090,2
R03758__cyto,10.8687,XP_025341358.1,C03508,4
R00708__cyto,1.9585,XP_025341706.1,C03912,1
R01279__pero,8.5951,XP_025340905.1,C00154,3
R10170__cyto,7.7968,XP_025344540.1,C04411,1
R05234__cyto,47.8315,XP_025340682.1,C06612,4
R03158__cyto,0.1901,XP_025339645.1,C01013,1
R12404__cyto,0.4204,XP_025339777.1,C22112,1
R02668__cyto,2.6602,XP_025342242.1,C03227,1
R10548__cyto,7.6003,XP_025340333.1,C11174,1
R12399__cyto,1.9477,XP_025341358.1,C22121,5
R00332__cyto,0.4507,XP_025343386.1,C00144,1
R12024__mito,37.1049,XP_025339708.1,C21858,1
R01752__cyto,20.514,XP_025343288.1,C00577,3
R04582__cyto,0.8994,XP_025341958.1,C00120,1
R02617__cyto,32.8779,XP_025343071.1,C00093,11
R01086__cyto,3.1185,XP_025343822.1,C03406,1
R10056__cyto,16.0293,XP_025343248.1,C00026,7
R02396__cyto,11.196,XP_025340381.1,C00024,2
R00756__cyto,21.8188,XP_025340245.1,C00085,2
R04863__cyto,4.6107,XP_025340420.1,C05560,1
R07497__cyto,32.5409,XP_025340233.1,C04525,1
R01663__cyto,8.5515,XP_025343812.1,C00239,1
R04941__cyto,0.6343,XP_025340817.1,C05699,1
R11099__pero,1.5119,XP_025340538.1,C20904,1
R05046__cyto,2.6034,XP_025341690.1,C05922,1
R00582__cyto,196.0973,XP_025340340.1,C01005,1
R00405__mito,0.2515,XP_025339919.1,C00042,1
R00770__cyto,37.2784,XP_025344429.1,C00085,6
R08281__mito,23.3037,XP_025340682.1,C07645,4
R02731__cyto,17.5541,XP_025342994.1,C00665,7
R04946__cyto,3.9329,XP_025340376.1,C01118,2
R00014__mito,15.0941,XP_025342530.1,C00022,12
R00177__cyto,30.3999,XP_025344315.1,C00073,1
R00209__mito,101.1607,XP_025344579.1,C00022,4
R01279__cyto,8.5951,XP_025340905.1,C00154,3
R02326__cyto,41.6579,XP_025339680.1,C00705,1
R00904__cyto,25.5733,XP_025343288.1,C05665,3
R00515__cyto,22.3123,XP_025344566.1,C00063,4
R00341__cyto,4.0902,XP_025341195.1,C00036,1
R08281__cyto,23.3037,XP_025340682.1,C07645,4
R00925__cyto,4.3574,XP_025340510.1,C00163,2
R03970__cyto,10.533,XP_025341618.1,C00025,2
R00236__cyto,64.3238,XP_025340510.1,C05993,2
R02731__mito,17.5541,XP_025342994.1,C00665,7
R08964__cyto,24.3813,XP_025344155.1,C11526,1
R01274__cyto,6.9232,XP_025340293.1,C00154,1
R09510__cyto,16.0293,XP_025343248.1,C00026,8
R04557__cyto,26.7047,XP_025339979.1,C04671,2
R00751__cyto,5.0157,XP_025343692.1,C00188,2
R00513__cyto,1.0669,XP_025340880.1,C00475,1
R03313__cyto,8.0031,XP_025344557.1,C03287,1
R02026__cyto,7.6192,XP_025340642.1,C01077,4
R04922__cyto,5.9118,XP_025343691.1,C05674,1
R04037__cyto,1.3666,XP_025340600.1,C02741,1
R04779__cyto,21.8188,XP_025340245.1,C05345,2
R02340__cyto,3.7148,XP_025340496.1,C03506,1
R03066__cyto,5.3158,XP_025344187.1,C01300,2
R01574__cyto,17.111,XP_025341347.1,C00216,2
R03777__pero,9.5138,XP_025340905.1,C01944,3
R00287__cyto,17.345,XP_025344566.1,C00029,4
R04301__cyto,18.6178,XP_025341223.1,C03758,1
R02106__cyto,11.5606,XP_025342819.1,C00366,1
R01880__cyto,27.5252,XP_025344429.1,C00299,4
R01708__cyto,9.0775,XP_025341358.1,C00314,4
R01818__cyto,5.5454,XP_025341134.1,C00275,1
R02061__cyto,0.1141,XP_025343264.1,C00448,2
R04206__cyto,145.63,XP_025340868.1,C03356,4
R07888__cyto,8.0096,XP_025340905.1,C16327,3
R00257__cyto,33.0528,XP_025343057.1,C00064,2
R04426__cyto,7.1165,XP_025342199.1,C04411,1
R03013__cyto,14.7092,XP_025343819.1,C01100,1
R08244__cyto,4.1291,XP_025342826.1,C00064,2
R10288__cyto,82.9966,XP_025340868.1,C04899,4
R01926__cyto,2.4045,XP_025342374.1,C00319,1
R00014__cyto,15.0941,XP_025342530.1,C00022,12
R03425__mito,0.9209,XP_025340725.1,C00037,1
R00754__cyto,296.7547,XP_025340682.1,C00469,4
R03197__cyto,4.8403,XP_025344347.1,C01051,1
R10953__cyto,57.393,XP_025344429.1,C01272,1
R01054__cyto,16.252,XP_025344566.1,C00301,1
R01290__cyto,0.9555,XP_025344688.1,C00065,2
R02715__mito,29.5978,XP_025344774.1,C00652,1
R04559__cyto,20.9817,XP_025339664.1,C04823,1
R02324__cyto,4.509,XP_025342790.1,C03150,1
R00754__mito,296.7547,XP_025340682.1,C00469,4
R07505__cyto,14.9624,XP_025343182.1,C15777,2
R04506__cyto,16.141,XP_025343288.1,C05445,3
R03348__mito,0.0994,XP_025343218.1,C00119,2
R08575__cyto,78.1841,XP_025342550.1,C00118,2
R01007__cyto,10.8294,XP_025341848.1,C00043,4
R04444__mito,2.211,XP_025341706.1,C04281,1
R00897__cyto,47.0688,XP_025340642.1,C00283,2
R10147__cyto,24.8607,XP_025343283.1,C00022,2
R12657__mito,18.5647,XP_025341435.1,C03226,13
R08639__cyto,55.2936,XP_025343401.1,C00103,2
R02872__cyto,0.7474,XP_025344713.1,C03428,1
R01021__cyto,2.6328,XP_025341645.1,C00114,1
R07389__cyto,5.8683,XP_025343691.1,C00307,1
R10089__cyto,130.0602,XP_025342045.1,C00118,6
R08306__cyto,83.0846,XP_025340682.1,C16586,4
R02091__cyto,46.3595,XP_025344429.1,C00475,4
R07330__cyto,16.6612,XP_025341435.1,C15571,14
R05578__cyto,16.0485,XP_025342339.1,C00025,1
R04887__cyto,0.0693,XP_025341223.1,C05580,1
R03530__cyto,9.6625,XP_025339680.1,C01344,1
R04221__cyto,12.8068,XP_025343797.1,C03440,4
R04001__cyto,7.7968,XP_025344540.1,C04411,1
R07116__cyto,43.3824,XP_025344035.1,C00051,4
R02098__cyto,2.695,XP_025344098.1,C00365,1
R03471__cyto,1.4119,XP_025341791.1,C01279,1
R01775__cyto,5.5167,XP_025341358.1,C00263,4
R02096__cyto,46.3595,XP_025344429.1,C00475,4
R02101__cyto,40.5489,XP_025340161.1,C00143,2
R01070__cyto,0.2182,XP_025342563.1,C05378,1
R11945__mito,37.3302,XP_025344565.1,C01967,7
R03409__cyto,13.0852,XP_025344078.1,C04494,1
R02748__cyto,1.6741,XP_025343966.1,C05512,1
R01496__cyto,4.3664,XP_025342531.1,C00319,7
R00239__cyto,15.4731,XP_025341954.1,C00025,1
R10035__cyto,0.2699,XP_025341985.1,C05143,3
R06516__cyto,19.3081,XP_025343721.1,C06124,1
R00995__pero,5.0063,XP_025340244.1,C06030,1
R02093__cyto,26.8758,XP_025339680.1,C00363,1
R01056__cyto,7.1805,XP_025342165.1,C00117,1
R02047__mito,1.1761,XP_025341008.1,C01188,4
R01665__cyto,0.7614,XP_025342018.1,C00705,1
R01059__cyto,8.1551,XP_025344224.1,C00577,1
R00129__cyto,81.1225,XP_025340868.1,C04856,4
R02372__cyto,46.3595,XP_025344429.1,C00475,4
R08359__cyto,3.9769,XP_025342943.1,C01672,4
R02094__cyto,3.36,XP_025344098.1,C00364,1
R01724__cyto,17.894,XP_025343708.1,C01185,1
R08091__cyto,24.1363,XP_025342531.1,C16466,8
R00191__cyto,4.5859,XP_025340413.1,C00575,1
R03018__cyto,28.3042,XP_025344429.1,C00864,1
R07113__cyto,345.9257,XP_025344035.1,C11088,4
R11945__cyto,37.3302,XP_025344565.1,C01967,7
R00569__cyto,5.2613,XP_025339769.1,C00063,2
R03238__cyto,21.8188,XP_025340245.1,C01097,2
R07003__cyto,43.3824,XP_025344035.1,C00051,4
R07384__cyto,8.6552,XP_025343691.1,C00055,1
R03348__cyto,0.0994,XP_025343218.1,C00119,2
R07274__cyto,57.3007,XP_025340642.1,C01005,2
R05639__cyto,0.2939,XP_025339979.1,C05108,2
R07494__cyto,0.7949,XP_025339777.1,C15808,1
R03458__cyto,10.2013,XP_025341358.1,C04454,4
R07896__pero,8.3366,XP_025340905.1,C16335,3
R01857__cyto,1.3054,XP_025339680.1,C00361,1
R12173__cyto,51.2305,XP_025340728.1,C00154,2
R00710__cyto,13.3463,XP_025343288.1,C00084,3
R04420__cyto,30.7148,XP_025341333.1,C04188,1
R02568__cyto,0.2136,XP_025342563.1,C01094,1
R03304__cyto,43.7843,XP_025341223.1,C01161,1
R00026__cyto,9.4286,XP_025341985.1,C00185,3
R00590__pero,11.6792,XP_025342032.1,C00065,2
R01324__mito,53.1485,XP_025340868.1,C00158,3
R00275__cyto,35.4527,XP_025344236.1,C00704,4
R07394__cyto,1.1883,XP_025341302.1,C15651,1
R00964__cyto,1.1043,XP_025340880.1,C00299,1
R00939__mito,183.8702,XP_025339718.1,C00101,1
R09087__cyto,7.8097,XP_025340333.1,C01204,1
R12119__cyto,2.2947,XP_025344294.1,C21918,1
R02850__cyto,41.9897,XP_025343315.1,C00738,4
R00621__mito,10.2999,XP_025343511.1,C00068,2
R03084__cyto,6.8131,XP_025343755.1,C00944,2
R00867__cyto,57.9861,XP_025343315.1,C00095,3
R07491__cyto,14.9624,XP_025343182.1,C15777,1
R01083__cyto,16.9644,XP_025339664.1,C03794,1
R02978__cyto,2.0732,XP_025340061.1,C00836,1
R02035__cyto,6.677,XP_025343114.1,C01236,2
R00342__mito,43.3529,XP_025339631.1,C00149,1
R12152__cyto,17.7137,XP_025343053.1,C04916,1
R00651__cyto,15.7089,XP_025340642.1,C00409,2
R07509__cyto,0.3399,XP_025342552.1,C05108,2
R04945__cyto,3.436,XP_025340376.1,C01077,2
R02665__cyto,0.0497,XP_025342424.1,C00632,1
R00402__cyto,0.1368,XP_025339979.1,C00042,2
R00782__cyto,29.5944,XP_025340817.1,C00097,2
R07981__cyto,1.6135,XP_025342819.1,C16361,1
R09877__cyto,1.7059,XP_025344566.1,C20176,4
R00870__cyto,6.8266,XP_025341358.1,C00392,4
R03650__cyto,0.3566,XP_025341931.1,C00097,1
R00342__cyto,43.3529,XP_025339631.1,C00149,1
R06590__cyto,5.8038,XP_025340731.1,C00117,2
R01899__mito,5.3952,XP_025341569.1,C00311,2
R03921__cyto,20.2167,XP_025344742.1,C16688,1
R02408__cyto,50.9296,XP_025340817.1,C00491,2
R09420__cyto,25.134,XP_025339979.1,C16453,6
R00778__cyto,1.2496,XP_025343065.1,C00086,1
R12152__mito,17.7137,XP_025343053.1,C04916,1
R03968__cyto,4.0368,XP_025344540.1,C02504,1
R02297__cyto,1.388,XP_025343966.1,C01762,1
R00702__cyto,0.2959,XP_025344713.1,C00448,1
R01954__cyto,7.6932,XP_025339557.1,C00327,2
R00529__cyto,3.4938,XP_025343523.1,C00059,1
R00710__mito,13.3463,XP_025343288.1,C00084,3
R04762__cyto,0.1617,XP_025341223.1,C05298,1
R01074__cyto,3.1411,XP_025341958.1,C05921,1
R03596__cyto,2.2522,XP_025343959.1,C01528,1
R07951__pero,121.8242,XP_025340868.1,C16388,3
R12085__cyto,17.6018,XP_025342531.1,C01165,14
R00494__cyto,19.7452,XP_025341618.1,C00051,1
R06366__cyto,15.6297,XP_025343288.1,C02576,3
R06527__cyto,23.3286,XP_025341830.1,C12144,2
R00114__cyto,17.3267,XP_025339952.1,C00025,1
R03654__cyto,2.06,XP_025343651.1,C00037,1
R03772__cyto,44.8516,XP_025341983.1,C02991,1
R04483__cyto,5.868,XP_025341358.1,C04840,5
R00927__cyto,0.4195,XP_025344328.1,C00024,2
R00719__cyto,5.2482,XP_025339769.1,C00081,2
R03050__mito,11.0355,XP_025341159.1,C00068,4
R03659__cyto,9.386,XP_025341681.1,C00073,2
R04911__cyto,0.1679,XP_025341542.1,C05648,1
R11319__cyto,22.6963,XP_025342799.1,C00068,1
R07948__cyto,4.8381,XP_025340905.1,C03458,3
R01354__cyto,44.7664,XP_025340510.1,C05983,2
R01082__cyto,6.6617,XP_025344070.1,C00149,1
R00994__cyto,22.2558,XP_025342199.1,C00109,1
R05069__mito,2.3511,XP_025340578.1,C06006,1
R09365__cyto,1.2496,XP_025342317.1,C04489,2
R03096__cyto,1.8865,XP_025344428.1,C02693,2
R01899__cyto,5.3952,XP_025341569.1,C00311,2
R12026__cyto,4.1115,XP_025344508.1,C00283,2
R07238__cyto,12.6487,XP_025341435.1,C15527,14
R07364__cyto,1.841,XP_025342620.1,C15606,1
R03646__cyto,15.961,XP_025339899.1,C00062,1
R00115__cyto,153.6419,XP_025343104.1,C00127,1
R09099__cyto,8.2437,XP_025342547.1,C01217,4
R11319__mito,22.6963,XP_025342799.1,C00068,1
R03992__cyto,59.6966,XP_025340443.1,C02593,8
R00926__cyto,44.7664,XP_025340510.1,C05983,2
R09366__cyto,0.7572,XP_025342154.1,C05689,1
R02124__cyto,47.9372,XP_025340682.1,C00473,4
R00271__cyto,5.4685,XP_025342007.1,C00024,4
R01579__cyto,15.8464,XP_025341376.1,C00819,3
R08121__cyto,3.3516,XP_025343544.1,C16476,1
R03552__cyto,12.4485,XP_025342531.1,C00024,13
R00217__mito,63.3217,XP_025341358.1,C00036,5
R02410__cyto,20.2425,XP_025344742.1,C00492,1
R00707__cyto,1.9585,XP_025341706.1,C03912,1
R01959__cyto,0.1879,XP_025341542.1,C02700,1
R00409__pero,4.6992,XP_025340519.1,C04593,1
R07892__pero,8.1596,XP_025340905.1,C16331,3
R01201__cyto,35.0454,XP_025344429.1,C00140,1
R01858__cyto,21.5762,XP_025340747.1,C00022,2
R05724__cyto,2.3636,XP_025341213.1,C00533,1
R05071__cyto,2.3793,XP_025340578.1,C06010,1
R00876__cyto,57.9861,XP_025343315.1,C00095,8
R09375__cyto,2.536,XP_025342919.1,C01304,1
R01920__cyto,4.6443,XP_025342943.1,C00134,4
R00494__mito,19.7452,XP_025341618.1,C00051,1
R00217__cyto,63.3217,XP_025341358.1,C00036,5
R05064__cyto,26.8523,XP_025339645.1,C06000,1
R00715__cyto,0.1287,XP_025340359.1,C00449,1
R07140__cyto,4.5344,XP_025341358.1,C14180,5
R01138__cyto,19.6507,XP_025340747.1,C00074,1
R01641__cyto,7.4872,XP_025340731.1,C00118,2
R05068__mito,2.984,XP_025340578.1,C06007,1
R00472__pero,4.9463,XP_025341421.1,C00048,2
R00875__cyto,7.2693,XP_025340416.1,C00794,1
R00274__cyto,907.0942,XP_025340969.1,C00027,4
R00714__cyto,4.9113,XP_025341251.1,C00232,2
R03655__cyto,16.6291,XP_025339652.1,C00135,1
R07136__cyto,336.3165,XP_025339631.1,C11537,1
R01139__cyto,41.9897,XP_025343315.1,C00031,4
R02940__cyto,43.719,XP_025343288.1,C05985,3
R01175__cyto,12.7879,XP_025340905.1,C00877,6
R02199__mito,2.1219,XP_025343425.1,C00407,2
R03098__cyto,1.138,XP_025340420.1,C00956,1
R02530__cyto,80.5168,XP_025341095.1,C03451,1
R01799__cyto,81.3557,XP_025340309.1,C00063,1
R00342__pero,43.3529,XP_025339631.1,C00149,1
R04988__mito,7.8429,XP_025341435.1,C05811,13
R06154__cyto,33.8416,XP_025341286.1,C00218,2
R03991__cyto,0.4195,XP_025344328.1,C00024,2
R00185__cyto,1.1151,XP_025340778.1,C00212,1
R11098__cyto,2.2513,XP_025340538.1,C20905,1
R01397__cyto,5.2909,XP_025343786.1,C00169,2
R05196__cyto,9.5136,XP_025342531.1,C00031,9
R03774__cyto,5.3482,XP_025341978.1,C01934,1
R07393__cyto,16.4009,XP_025342994.1,C15650,8
R01108__cyto,31.0265,XP_025343970.1,C00051,2
R02382__cyto,130.8146,XP_025341286.1,C00483,2
R00965__cyto,4.7819,XP_025340244.1,C01103,1
R00619__cyto,2.5349,XP_025339906.1,C00378,1
R12118__cyto,2.2947,XP_025344294.1,C21918,1
R06830__cyto,8.2421,XP_025341358.1,C11822,4
R01518__cyto,27.973,XP_025341764.1,C00631,2
R00022__cyto,1.3285,XP_025341196.1,C01674,1
R01234__cyto,2.9173,XP_025340413.1,C00942,1
R01049__cyto,23.1043,XP_025344156.1,C00117,4
R00999__cyto,3.9329,XP_025340376.1,C01118,1
R07237__cyto,21.8158,XP_025341435.1,C01051,14
R02750__cyto,34.3245,XP_025342921.1,C00673,1
R07896__cyto,8.3366,XP_025340905.1,C16335,3
R06835__cyto,1.6627,XP_025343544.1,C12834,1
R07395__cyto,2.4394,XP_025344459.1,C15650,1
R02222__cyto,49.664,XP_025340728.1,C00412,2
R04764__cyto,0.4325,XP_025341223.1,C05301,1
R03804__cyto,5.9779,XP_025342627.1,C04131,4
R01513__cyto,15.0407,XP_025342378.1,C00197,1
R02473__cyto,1.5203,XP_025342843.1,C00522,2
R01325__cyto,53.1485,XP_025340868.1,C00158,3
R07235__mito,18.5647,XP_025341435.1,C03226,13
R04983__cyto,21.1265,XP_025341435.1,C05803,14
R07953__cyto,0.6265,XP_025344328.1,C16173,2
R00836__cyto,31.9878,XP_025344360.1,C00029,56
R07760__cyto,0.3052,XP_025344740.1,C16217,2
R00968__cyto,1.1043,XP_025340880.1,C00299,1
R01325__mito,53.1485,XP_025340868.1,C00158,3
R07015__cyto,37.9918,XP_025339979.1,C06205,2
R02848__cyto,41.9897,XP_025343315.1,C00738,4
R01676__cyto,10.4598,XP_025342585.1,C00242,2
R00650__cyto,1.0615,XP_025339683.1,C00155,1
R01896__cyto,7.6288,XP_025340416.1,C00379,1
R00430__cyto,19.6507,XP_025340747.1,C00074,1
R03681__cyto,3.1699,XP_025344485.1,C00029,2
R04604__cyto,0.8994,XP_025341958.1,C00120,1
R01230__cyto,2.8706,XP_025342826.1,C00655,1
R07761__cyto,34.0653,XP_025339979.1,C16218,2
R04325__cyto,0.1239,XP_025341283.1,C03838,2
R01326__cyto,41.9897,XP_025343315.1,C00159,3
R01827__cyto,78.1841,XP_025342550.1,C00118,2
R00524__cyto,0.8287,XP_025343677.1,C00488,1
R07892__cyto,8.1596,XP_025340905.1,C16331,3
R03777__cyto,9.5138,XP_025340905.1,C01944,3
R03118__cyto,11.9927,XP_025342314.1,C00029,3
R01548__cyto,46.3595,XP_025344429.1,C00475,2
R03180__cyto,2.4667,XP_025344152.1,C03078,2
R00967__cyto,27.5252,XP_025344429.1,C00299,2
R08198__cyto,3.9824,XP_025341358.1,C02630,5
R07950__cyto,12.9571,XP_025340905.1,C16172,3
R04730__cyto,22.5048,XP_025342561.1,C00082,1
R02909__cyto,3.5261,XP_025339653.1,C00780,1
R01547__cyto,14.787,XP_025342799.1,C00360,2
R03778__cyto,0.4195,XP_025344328.1,C00024,2
R01177__cyto,16.5391,XP_025343189.1,C00024,4
R00742__mito,5.4488,XP_025339867.1,C00024,2
R10852__cyto,1.3733,XP_025340439.1,C05519,1
R04673__mito,14.8592,XP_025341159.1,C00109,4
R07891__cyto,0.4195,XP_025344328.1,C00024,2
R01268__cyto,0.0099,XP_025343826.1,C00153,1
R01015__cyto,52.3191,XP_025341029.1,C00118,1
R01731__cyto,13.6651,XP_025340820.1,C00036,2
R00028__cyto,140.5454,XP_025344668.1,C00208,2
R10851__cyto,1.3733,XP_025340439.1,C05519,1
R08193__cyto,0.7764,XP_025343368.1,C00357,1
R02164__mito,12.5526,XP_025342953.1,C01967,10
R07486__cyto,4.9298,XP_025343182.1,C15782,1
R04326__cyto,0.1239,XP_025341283.1,C03838,2
R01986__cyto,29.8275,XP_025343288.1,C00555,3
R12205__cyto,4.8493,XP_025341927.1,C02050,1
R01327__cyto,50.6207,XP_025343315.1,C00081,8
R07324__cyto,11.3961,XP_025341275.1,C00092,1
R03460__cyto,6.9707,XP_025343755.1,C00074,2
R03245__cyto,6.9574,XP_025344245.1,C01107,1
R06838__cyto,147.8275,XP_025343544.1,C12838,1
R11063__cyto,1.0615,XP_025339683.1,C00155,2
R01395__cyto,0.321,XP_025343786.1,C01563,2
R07392__cyto,88.0861,XP_025340838.1,C04582,1
R05000__mito,0.4012,XP_025341956.1,C04145,2
R01549__cyto,27.5252,XP_025344429.1,C00299,2
R02315__cyto,16.367,XP_025343500.1,C00449,1
R01010__cyto,17.7323,XP_025344333.1,C00111,11
R00802__cyto,20.7684,XP_025344742.1,C00089,1
R00189__cyto,19.7496,XP_025343057.1,C00857,1
R10040__cyto,7.6481,XP_025341985.1,C01594,3
R01011__mito,6.2403,XP_025344224.1,C00184,1
R01826__cyto,1.7399,XP_025343882.1,C00074,4
R01013__cyto,21.0557,XP_025343071.1,C00111,11
R02534__cyto,0.0304,XP_025341223.1,C00547,1
R01730__cyto,13.5373,XP_025344244.1,C00254,1
R02038__cyto,6.7765,XP_025341378.1,C00346,2
R01923__pero,14.0354,XP_025342531.1,C00318,14
R03243__cyto,5.7767,XP_025340654.1,C01100,2
R00188__cyto,41.4156,XP_025340955.1,C00054,1
R04672__mito,11.0355,XP_025341159.1,C00068,4
R01829__cyto,5.3479,XP_025342563.1,C00447,1
R06521__cyto,11.9604,XP_025342994.1,C06124,11
R07606__cyto,13.9381,XP_025342531.1,C00073,7
R02976__cyto,2.3224,XP_025342374.1,C00836,1
R04328__cyto,5.0278,XP_025341358.1,C01189,8
R00742__cyto,5.4488,XP_025339867.1,C00024,2
