reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R00264__cyto,84.9534,XP_025338982.1,C00433,2
R01956__cyto,2.4736,XP_025334471.1,C00328,2
R02722__cyto,2.611,XP_025339135.1,C00065,2
R00220__pero,17.9066,XP_025335638.1,C00065,3
R02549__cyto,26.4859,XP_025338982.1,C00555,2
R02739__cyto,95.532,XP_025337137.1,C00668,2
R08221__cyto,111.1481,XP_025337858.1,C16635,1
R00351__pero,74.8562,XP_025338521.1,C00036,2
R08310__mito,145.6051,XP_025334696.1,C16595,4
R01330__cyto,33.7609,XP_025335695.1,C00159,4
R01626__mito,1.4672,XP_025336476.1,C00083,1
R05801__cyto,71.1878,XP_025335695.1,C11555,1
R00227__cyto,5.0214,XP_025338477.1,C00024,2
R01220__mito,18.3524,XP_025336961.1,C00143,2
R02439__mito,53.4262,XP_025335695.1,C00508,1
R01288__cyto,59.5883,XP_025339025.1,C00283,2
R07396__cyto,3.3353,XP_025338163.1,C01180,2
R02853__cyto,206.6898,XP_025335695.1,C02532,1
R03036__cyto,4.7876,XP_025336044.1,C00882,4
R05002__cyto,72.4191,XP_025335555.1,C05860,52
R01960__cyto,3.2271,XP_025335369.1,C00328,1
R02113__cyto,65.3875,XP_025335555.1,C00029,52
R01051__cyto,68.9702,XP_025334440.1,C00121,1
R00974__cyto,2.1675,XP_025337206.1,C00380,1
R03661__cyto,20.2858,XP_025336139.1,C00148,2
R00344__mito,8.3454,XP_025337036.1,C00022,2
R07024__cyto,37.6148,XP_025336358.1,C00051,4
R00278__cyto,1.4882,XP_025335739.1,C00627,2
R07084__cyto,37.6148,XP_025336358.1,C00051,4
R01965__cyto,17.8401,XP_025337173.1,C00329,2
R02558__cyto,7.2445,XP_025338174.1,C00844,3
R00602__cyto,7211.3392,XP_025337395.1,C00027,2
R01736__cyto,86.7628,XP_025337662.1,C03451,1
R01626__cyto,1.4672,XP_025336476.1,C00083,1
R05733__cyto,3.1305,XP_025336844.1,C04814,1
R01209__mito,1.0557,XP_025335663.1,C04039,1
R00316__cyto,21.296,XP_025339149.1,C00033,2
R03601__cyto,19.6672,XP_025334605.1,C00979,2
R08120__cyto,3.4791,XP_025337424.1,C16477,1
R01600__cyto,9.6714,XP_025337633.1,C00221,3
R01710__cyto,1.4882,XP_025335739.1,C00534,2
R03217__cyto,10.7464,XP_025339025.1,C01077,2
R07134__cyto,0.6836,XP_025336846.1,C01904,1
R02670__cyto,57.0615,XP_025337395.1,C00632,1
R04859__cyto,19.6672,XP_025334605.1,C00979,2
R00988__cyto,0.1166,XP_025338876.1,C05653,1
R10065__cyto,64.538,XP_025335695.1,C01245,1
R04371__cyto,1.0611,XP_025338259.1,C05662,1
R07091__cyto,37.6148,XP_025336358.1,C00051,4
R01431__cyto,2.5114,XP_025334870.1,C00379,2
R01321__cyto,121.4378,XP_025336014.1,C00307,1
R07406__cyto,52.5762,XP_025338347.1,C07335,4
R09882__mito,4.3007,XP_025336044.1,C04058,4
R00227__mito,5.0214,XP_025338477.1,C00024,2
R03648__cyto,3.9436,XP_025336140.1,C00152,2
R05616__cyto,0.6569,XP_025334513.1,C00156,2
R01799__mito,143.3832,XP_025338957.1,C00063,1
R09376__cyto,94.5527,XP_025338347.1,C01304,4
R11101__cyto,42.4392,XP_025335638.1,C17234,3
R00772__cyto,22.7094,XP_025337471.1,C00275,1
R02059__cyto,5.1976,XP_025337833.1,C00357,1
R01698__mito,32.7193,XP_025335031.1,C00579,1
R04751__cyto,18.5369,XP_025338245.1,C05270,3
R00937__mito,39.9863,XP_025334912.1,C00101,1
R11312__cyto,0.6111,XP_025336392.1,C20246,2
R02404__mito,1.0448,XP_025335122.1,C00490,1
R05510__cyto,9.2402,XP_025337424.1,C07090,1
R09477__cyto,2.5114,XP_025334870.1,C00379,1
R05168__cyto,5.1976,XP_025337833.1,C06376,4
R04920__cyto,56.6937,XP_025336014.1,C05673,1
R02235__mito,82.5707,XP_025334912.1,C00415,1
R05506__cyto,7.987,XP_025337043.1,C07118,8
R04144__cyto,15.0442,XP_025338127.1,C03090,2
R03758__cyto,64.466,XP_025338347.1,C03508,4
R00708__cyto,8.1925,XP_025339420.1,C03912,1
R01279__pero,16.1747,XP_025338245.1,C00154,3
R10170__cyto,7.2188,XP_025335797.1,C04411,1
R05234__cyto,60.5299,XP_025334696.1,C06612,4
R03158__cyto,0.2831,XP_025337750.1,C01013,1
R12404__cyto,0.3494,XP_025334975.1,C22112,1
R02668__cyto,1.5581,XP_025335432.1,C03227,1
R10548__cyto,2.8142,XP_025338980.1,C11174,1
R12399__cyto,2.0505,XP_025338697.1,C22121,4
R00332__cyto,0.5767,XP_025337565.1,C00144,1
R12024__mito,17.1158,XP_025336146.1,C21858,3
R01752__cyto,16.3327,XP_025338982.1,C00577,2
R04582__cyto,0.6444,XP_025334512.1,C00120,1
R02617__cyto,85.1891,XP_025337846.1,C00093,11
R01086__cyto,6.1219,XP_025336141.1,C03406,1
R10056__cyto,56.459,XP_025337487.1,C00026,9
R02396__cyto,9.1454,XP_025339032.1,C00024,2
R00756__cyto,11.8962,XP_025336737.1,C00085,2
R04863__cyto,3.1278,XP_025339067.1,C05560,1
R07497__cyto,3.5148,XP_025336752.1,C04525,1
R01663__cyto,133.5051,XP_025337858.1,C00239,1
R04941__cyto,0.493,XP_025338161.1,C05699,1
R11099__pero,4.9101,XP_025339178.1,C20904,1
R05046__cyto,1.9569,XP_025339437.1,C05922,1
R00582__cyto,306.5076,XP_025338986.1,C01005,1
R00405__mito,0.2707,XP_025335122.1,C00042,1
R00770__cyto,40.3036,XP_025335695.1,C00085,6
R08281__mito,33.5215,XP_025334696.1,C07645,4
R02731__cyto,4.0869,XP_025337151.1,C00665,5
R04946__cyto,13.4669,XP_025339025.1,C01118,2
R00014__mito,11.4864,XP_025337651.1,C00022,14
R00177__cyto,13.8343,XP_025336645.1,C00073,1
R00209__mito,131.8522,XP_025335837.1,C00022,4
R01279__cyto,16.1747,XP_025338245.1,C00154,3
R02326__cyto,1.0929,XP_025334874.1,C00705,1
R00904__cyto,22.6334,XP_025338982.1,C05665,2
R00515__cyto,4.1887,XP_025335823.1,C00063,4
R00341__cyto,1.825,XP_025338538.1,C00036,1
R08281__cyto,33.5215,XP_025334696.1,C07645,4
R00925__cyto,14.2723,XP_025339149.1,C00163,2
R03970__cyto,20.2413,XP_025339510.1,C00025,2
R00236__cyto,79.239,XP_025339149.1,C05993,2
R02731__mito,4.0869,XP_025337151.1,C00665,5
R08964__cyto,15.5952,XP_025336478.1,C11526,1
R01274__cyto,2.8753,XP_025338941.1,C00154,1
R09510__cyto,56.459,XP_025337487.1,C00026,10
R02283__cyto,3.9765,XP_025337045.1,C00437,2
R04557__cyto,50.106,XP_025335363.1,C04671,2
R00751__cyto,0.3185,XP_025336015.1,C00188,2
R00513__cyto,12.2557,XP_025338221.1,C00475,1
R03313__cyto,12.6506,XP_025335813.1,C03287,1
R02026__cyto,10.7464,XP_025339025.1,C01077,4
R04922__cyto,96.5701,XP_025336014.1,C05674,1
R04037__cyto,1.1696,XP_025334566.1,C02741,1
R04779__cyto,11.8962,XP_025336737.1,C05345,2
R02340__cyto,2.5271,XP_025339135.1,C03506,1
R03066__cyto,10.0214,XP_025336512.1,C01300,2
R01574__cyto,78.383,XP_025339511.1,C00216,2
R03777__pero,17.9284,XP_025338245.1,C01944,3
R00287__cyto,3.883,XP_025335823.1,C00029,4
R04301__cyto,1.4304,XP_025338566.1,C03758,1
R02106__cyto,3.2498,XP_025337320.1,C00366,1
R01880__cyto,32.5352,XP_025335695.1,C00299,4
R01708__cyto,37.3828,XP_025338347.1,C00314,4
R01818__cyto,5.3437,XP_025338474.1,C00275,1
R02061__cyto,0.2891,XP_025338076.1,C00129,2
R04206__cyto,210.606,XP_025338209.1,C03356,4
R07888__cyto,15.0938,XP_025338245.1,C16327,3
R00257__cyto,6.6443,XP_025337860.1,C00064,2
R04426__cyto,3.8476,XP_025335475.1,C04411,1
R03013__cyto,3.8832,XP_025336138.1,C01100,1
R08244__cyto,3.3596,XP_025337327.1,C00064,2
R10288__cyto,123.075,XP_025338209.1,C04899,4
R01926__cyto,1.9099,XP_025336805.1,C00319,1
R00014__cyto,11.4864,XP_025337651.1,C00022,14
R03425__mito,1.2766,XP_025334691.1,C00037,1
R00754__cyto,329.436,XP_025334696.1,C00469,4
R03197__cyto,4.9317,XP_025336677.1,C01051,1
R10953__cyto,71.7949,XP_025335695.1,C01272,1
R01054__cyto,3.9057,XP_025335823.1,C00301,1
R01290__cyto,1.4176,XP_025335945.1,C00065,2
R02715__mito,91.1756,XP_025337942.1,C00652,1
R04559__cyto,23.141,XP_025334858.1,C04823,1
R02324__cyto,53.1476,XP_025337291.1,C03150,1
R00754__mito,329.436,XP_025334696.1,C00469,4
R07505__cyto,2.5124,XP_025334820.1,C15777,2
R04506__cyto,16.8924,XP_025338982.1,C05445,2
R03348__mito,0.0775,XP_025338123.1,C00119,2
R08575__cyto,102.9564,XP_025337060.1,C00118,2
R01007__cyto,56.2035,XP_025336014.1,C00043,4
R04444__mito,4.6501,XP_025339420.1,C04281,1
R00897__cyto,65.8572,XP_025334605.1,C00283,2
R10147__cyto,13.239,XP_025338062.1,C00441,2
R12657__mito,82.1525,XP_025336496.1,C03226,12
R08639__cyto,12.5062,XP_025337550.1,C00103,2
R02872__cyto,0.1233,XP_025335972.1,C03428,1
R01021__cyto,5.7954,XP_025339481.1,C00114,1
R07389__cyto,121.4378,XP_025336014.1,C00307,1
R10089__cyto,39.123,XP_025335625.1,C00118,6
R08306__cyto,86.1815,XP_025334696.1,C16586,4
R02091__cyto,47.2381,XP_025335695.1,C00475,4
R07330__cyto,38.8978,XP_025336496.1,C15571,13
R05578__cyto,5.985,XP_025336834.1,C00025,1
R04887__cyto,0.2707,XP_025338566.1,C05580,1
R03530__cyto,1.4356,XP_025334874.1,C01344,1
R04221__cyto,80.0723,XP_025335900.1,C03440,3
R04001__cyto,7.2188,XP_025335797.1,C04411,1
R07116__cyto,37.6148,XP_025336358.1,C00051,4
R02098__cyto,3.176,XP_025336420.1,C00365,1
R03471__cyto,1.1366,XP_025339337.1,C01279,1
R01775__cyto,25.7488,XP_025338347.1,C00263,4
R02096__cyto,47.2381,XP_025335695.1,C00475,4
R02101__cyto,8.8597,XP_025335373.1,C00143,2
R01070__cyto,0.2463,XP_025337072.1,C05378,1
R11945__mito,50.7309,XP_025338616.1,C01967,7
R03409__cyto,3.6947,XP_025336044.1,C04494,4
R02748__cyto,0.9343,XP_025336292.1,C05512,1
R01496__cyto,3.8204,XP_025337043.1,C00319,7
R00239__cyto,26.2958,XP_025334515.1,C00025,1
R10035__cyto,6.3223,XP_025338174.1,C05143,3
R06516__cyto,3.2687,XP_025336042.1,C06124,1
R00995__pero,2.2289,XP_025336739.1,C06030,1
R02093__cyto,1.1187,XP_025334874.1,C00363,1
R01056__cyto,36.8219,XP_025335506.1,C00117,1
R02047__mito,1.1335,XP_025338697.1,C01188,4
R01665__cyto,19.1231,XP_025335650.1,C00705,1
R01059__cyto,7.5961,XP_025336550.1,C00577,1
R00129__cyto,120.4111,XP_025338209.1,C04856,4
R02372__cyto,47.2381,XP_025335695.1,C00475,4
R08359__cyto,1.4209,XP_025334460.1,C01137,4
R02094__cyto,3.8715,XP_025336420.1,C00364,1
R01724__cyto,16.8815,XP_025336031.1,C01185,1
R08091__cyto,10.3756,XP_025337043.1,C16466,8
R00191__cyto,4.9776,XP_025336890.1,C00575,3
R03018__cyto,29.6556,XP_025335695.1,C00864,1
R07113__cyto,294.29,XP_025336358.1,C11088,4
R11945__cyto,50.7309,XP_025338616.1,C01967,7
R00569__cyto,25.2229,XP_025334967.1,C00063,2
R03238__cyto,11.8962,XP_025336737.1,C01097,2
R07003__cyto,37.6148,XP_025336358.1,C00051,4
R07384__cyto,90.4437,XP_025336014.1,C00055,1
R03348__cyto,0.0775,XP_025338123.1,C00119,2
R07274__cyto,80.7728,XP_025334605.1,C01005,2
R05639__cyto,0.8425,XP_025335363.1,C05108,2
R07494__cyto,0.7099,XP_025334975.1,C15808,1
R03458__cyto,60.0575,XP_025338347.1,C04454,4
R07896__pero,15.7101,XP_025338245.1,C16335,3
R01857__cyto,0.5972,XP_025334874.1,C00361,1
R12173__cyto,9.4986,XP_025338653.1,C00154,2
R00710__cyto,11.0879,XP_025338982.1,C00084,2
R04420__cyto,2.613,XP_025338672.1,C04188,1
R02568__cyto,0.2399,XP_025337072.1,C01094,1
R03304__cyto,8.8184,XP_025338566.1,C01161,1
R00026__cyto,23.1263,XP_025338174.1,C00185,3
R00590__pero,17.9066,XP_025335638.1,C00065,2
R01324__mito,75.2874,XP_025338209.1,C00158,3
R00275__cyto,91.248,XP_025335234.1,C00704,4
R07394__cyto,4.2541,XP_025337921.1,C15651,6
R00964__cyto,8.5561,XP_025338221.1,C00299,1
R00939__mito,39.9863,XP_025334912.1,C00101,1
R09087__cyto,3.1015,XP_025338980.1,C01204,1
R12119__cyto,3.3525,XP_025336625.1,C21918,1
R02850__cyto,33.7609,XP_025335695.1,C00738,4
R00621__mito,5.884,XP_025337447.1,C00068,2
R03084__cyto,8.1161,XP_025336072.1,C00944,2
R00867__cyto,11.6887,XP_025337633.1,C00095,3
R07491__cyto,2.5124,XP_025334820.1,C15777,1
R01083__cyto,18.9207,XP_025334858.1,C03794,1
R02978__cyto,1.4882,XP_025335269.1,C00836,1
R02035__cyto,38.1155,XP_025336974.1,C01236,2
R00342__mito,105.3567,XP_025337734.1,C00149,1
R12152__cyto,24.56,XP_025337865.1,C04916,1
R00651__cyto,21.5557,XP_025334605.1,C00409,2
R07509__cyto,0.7025,XP_025336844.1,C05108,1
R04945__cyto,10.7464,XP_025339025.1,C01077,2
R02665__cyto,0.6832,XP_025336935.1,C00632,1
R00402__cyto,0.386,XP_025335185.1,C00042,2
R00782__cyto,39.2726,XP_025338161.1,C00097,2
R07981__cyto,1.1602,XP_025337320.1,C16361,1
R09877__cyto,2.4484,XP_025336044.1,C20176,4
R00870__cyto,30.6816,XP_025338347.1,C00392,4
R03650__cyto,3.9439,XP_025334535.1,C00097,1
R00342__cyto,105.3567,XP_025337734.1,C00149,1
R06590__cyto,0.1449,XP_025334697.1,C00117,2
R01899__mito,6.7123,XP_025338902.1,C00311,2
R03921__cyto,7.9416,XP_025337984.1,C16688,1
R02408__cyto,77.8603,XP_025338161.1,C00491,2
R09420__cyto,72.952,XP_025338347.1,C16453,6
R00778__cyto,1.2496,XP_025337853.1,C00086,1
R12152__mito,24.56,XP_025337865.1,C04916,1
R03968__cyto,3.5527,XP_025335797.1,C02504,1
R02297__cyto,12.003,XP_025336292.1,C01762,1
R00702__cyto,0.0407,XP_025335972.1,C00448,1
R01954__cyto,4.1441,XP_025337665.1,C00327,2
R00529__cyto,8.1647,XP_025337441.1,C00059,1
R00710__mito,11.0879,XP_025338982.1,C00084,2
R04762__cyto,0.4755,XP_025338566.1,C05298,1
R01074__cyto,1.8126,XP_025334512.1,C05921,1
R03596__cyto,1.8035,XP_025336285.1,C01528,1
R07951__pero,180.0695,XP_025338209.1,C16388,3
R12085__cyto,11.1576,XP_025337043.1,C01165,14
R00494__cyto,38.4137,XP_025339510.1,C00051,1
R06366__cyto,16.5386,XP_025338982.1,C02576,2
R06527__cyto,15.9933,XP_025339299.1,C12144,2
R00114__cyto,16.0578,XP_025335158.1,C00025,1
R03654__cyto,4.4097,XP_025334785.1,C00037,1
R03772__cyto,12.4607,XP_025339538.1,C02991,1
R04483__cyto,20.3279,XP_025338347.1,C04840,5
R00927__cyto,0.834,XP_025336658.1,C00024,2
R00719__cyto,19.7538,XP_025334967.1,C00081,2
R03050__mito,4.8909,XP_025338499.1,C00068,4
R03659__cyto,3.7991,XP_025339444.1,C00073,2
R04911__cyto,0.2295,XP_025338876.1,C05648,1
R11319__cyto,54.4371,XP_025337299.1,C00068,1
R07948__cyto,8.6275,XP_025338245.1,C03458,3
R01354__cyto,55.1468,XP_025339149.1,C05983,2
R01082__cyto,22.9158,XP_025336393.1,C00149,1
R00994__cyto,2.4772,XP_025335475.1,C00109,1
R05069__mito,2.3527,XP_025334545.1,C06006,1
R09365__cyto,0.9737,XP_025336857.1,C04489,2
R03096__cyto,7.1768,XP_025335694.1,C02693,2
R01899__cyto,6.7123,XP_025338902.1,C00311,2
R12026__cyto,0.2622,XP_025335766.1,C00283,2
R07238__cyto,45.7727,XP_025336496.1,C15527,13
R07364__cyto,0.9762,XP_025337125.1,C15606,1
R03646__cyto,0.3128,XP_025335100.1,C00062,1
R00115__cyto,502.1556,XP_025337811.1,C00127,1
R09099__cyto,5.6209,XP_025337057.1,C01217,4
R11319__mito,54.4371,XP_025337299.1,C00068,1
R03992__cyto,23.1298,XP_025339091.1,C02593,8
R00926__cyto,55.1468,XP_025339149.1,C05983,2
R09366__cyto,1.4882,XP_025335518.1,C05689,1
R02124__cyto,54.3616,XP_025334696.1,C00473,4
R00271__cyto,2.0466,XP_025335660.1,C00024,4
R01579__cyto,7.7668,XP_025336146.1,C00819,3
R08121__cyto,5.8378,XP_025337424.1,C16476,1
R03552__cyto,10.8345,XP_025337806.1,C00024,13
R00217__mito,361.87,XP_025338347.1,C00036,5
R02410__cyto,8.13,XP_025337984.1,C00492,1
R00707__cyto,8.1925,XP_025339420.1,C03912,1
R01959__cyto,0.3368,XP_025338876.1,C02700,1
R00409__pero,23.3342,XP_025339159.1,C04593,1
R07892__pero,15.3766,XP_025338245.1,C16331,3
R01201__cyto,34.5437,XP_025335695.1,C00140,1
R01858__cyto,19.9129,XP_025334713.1,C00022,2
R05071__cyto,2.1947,XP_025334545.1,C06010,1
R00876__cyto,39.6507,XP_025335695.1,C00095,8
R09375__cyto,94.5527,XP_025338347.1,C01304,4
R01920__cyto,1.4209,XP_025334460.1,C01137,4
R00494__mito,38.4137,XP_025339510.1,C00051,1
R00217__cyto,361.87,XP_025338347.1,C00036,5
R05064__cyto,31.243,XP_025337750.1,C06000,1
R00715__cyto,0.456,XP_025339008.1,C00449,1
R07140__cyto,23.9695,XP_025338347.1,C14180,5
R01138__cyto,16.8793,XP_025334713.1,C00074,1
R01641__cyto,1.3236,XP_025334697.1,C00118,2
R05068__mito,3.1094,XP_025334545.1,C06007,1
R00472__pero,2.9164,XP_025338759.1,C00024,2
R00875__cyto,3.8054,XP_025339065.1,C00794,1
R00274__cyto,278.8306,XP_025334547.1,C00027,4
R00714__cyto,4.704,XP_025338598.1,C00232,2
R03655__cyto,13.2446,XP_025337758.1,C00135,1
R07136__cyto,706.2028,XP_025337734.1,C11537,1
R01139__cyto,33.7609,XP_025335695.1,C00031,4
R02940__cyto,32.855,XP_025338982.1,C05985,2
R01175__cyto,23.7058,XP_025338245.1,C00877,6
R02199__mito,106.7022,XP_025337526.1,C00026,2
R03098__cyto,0.3257,XP_025339067.1,C00956,1
R02530__cyto,156.8845,XP_025338436.1,C03451,1
R01799__cyto,143.3832,XP_025338957.1,C00063,1
R00342__pero,105.3567,XP_025337734.1,C00149,1
R04988__mito,60.7034,XP_025336496.1,C05811,12
R06154__cyto,23.5052,XP_025338172.1,C00218,2
R03991__cyto,0.834,XP_025336658.1,C00024,2
R00185__cyto,0.6064,XP_025334744.1,C00212,1
R11098__cyto,3.8057,XP_025339178.1,C20905,1
R01397__cyto,2.5457,XP_025336102.1,C00049,2
R05196__cyto,7.8277,XP_025337043.1,C00031,9
R03774__cyto,6.401,XP_025339542.1,C01934,1
R07393__cyto,7.9582,XP_025337921.1,C15650,6
R01108__cyto,5.7294,XP_025336296.1,C00051,2
R02382__cyto,84.59,XP_025338172.1,C00483,2
R00965__cyto,0.2153,XP_025336739.1,C01103,1
R00619__cyto,2.4506,XP_025335108.1,C00378,1
R12118__cyto,3.3525,XP_025336625.1,C21918,1
R06830__cyto,43.7641,XP_025338347.1,C11822,4
R01518__cyto,30.9948,XP_025339362.1,C00631,2
R00022__cyto,5.0097,XP_025338539.1,C01674,1
R01234__cyto,3.558,XP_025336890.1,C00942,3
R01049__cyto,49.2203,XP_025336479.1,C00117,4
R00999__cyto,13.4669,XP_025339025.1,C01118,1
R07237__cyto,77.8266,XP_025336496.1,C01051,13
R02750__cyto,36.9564,XP_025334440.1,C00673,1
R07896__cyto,15.7101,XP_025338245.1,C16335,3
R06835__cyto,1.8284,XP_025337424.1,C12834,1
R07395__cyto,0.96,XP_025335719.1,C15650,1
R02222__cyto,9.4188,XP_025338653.1,C00412,2
R04764__cyto,1.254,XP_025338566.1,C05301,1
R03804__cyto,5.7719,XP_025338712.1,C04131,4
R01513__cyto,13.5095,XP_025336801.1,C00197,1
R02473__cyto,6.5006,XP_025338050.1,C00522,2
R01325__cyto,75.2874,XP_025338209.1,C00158,3
R07235__mito,82.1525,XP_025336496.1,C03226,12
R04983__cyto,78.5082,XP_025336496.1,C05803,13
R07953__cyto,1.3374,XP_025336658.1,C16173,2
R00836__cyto,69.2623,XP_025335555.1,C00092,54
R07760__cyto,0.0656,XP_025334390.1,C16217,2
R00968__cyto,8.5561,XP_025338221.1,C00299,1
R01325__mito,75.2874,XP_025338209.1,C00158,3
R07015__cyto,91.5147,XP_025335363.1,C06205,2
R02848__cyto,33.7609,XP_025335695.1,C00738,4
R01676__cyto,37.0643,XP_025337094.1,C00242,1
R00650__cyto,2.0084,XP_025334877.1,C00155,1
R01896__cyto,3.8232,XP_025339065.1,C00379,1
R00430__cyto,16.8793,XP_025334713.1,C00074,1
R03681__cyto,3.5701,XP_025335049.1,C00029,2
R04604__cyto,0.6444,XP_025334512.1,C00120,1
R01230__cyto,2.8728,XP_025337327.1,C00655,1
R07761__cyto,64.224,XP_025335363.1,C16218,2
R04325__cyto,0.1573,XP_025338628.1,C03838,2
R01326__cyto,9.6714,XP_025337633.1,C00159,3
R01827__cyto,102.9564,XP_025337060.1,C00118,2
R00524__cyto,1.0178,XP_025336000.1,C00488,1
R07892__cyto,15.3766,XP_025338245.1,C16331,3
R03777__cyto,17.9284,XP_025338245.1,C01944,3
R03118__cyto,4.6351,XP_025335070.1,C00029,2
R01548__cyto,47.2381,XP_025335695.1,C00475,2
R03180__cyto,2.4305,XP_025335694.1,C03078,2
R00967__cyto,32.5352,XP_025335695.1,C00299,2
R08198__cyto,16.0284,XP_025338347.1,C02630,5
R07950__cyto,24.7964,XP_025338245.1,C16172,3
R04730__cyto,4.0354,XP_025337070.1,C00082,1
R02909__cyto,11.9344,XP_025337759.1,C00780,1
R01547__cyto,19.5039,XP_025337299.1,C00360,2
R03778__cyto,0.834,XP_025336658.1,C00024,2
R01177__cyto,20.3426,XP_025334812.1,C00024,4
R00742__mito,5.6618,XP_025335068.1,C00024,2
R10852__cyto,0.451,XP_025339087.1,C05519,1
R04673__mito,6.5584,XP_025338499.1,C00109,4
R07891__cyto,0.834,XP_025336658.1,C00024,2
R01268__cyto,0.0675,XP_025336146.1,C00153,1
R01015__cyto,199.0811,XP_025338368.1,C00118,1
R01731__cyto,3.5397,XP_025338163.1,C00036,2
R00028__cyto,15.4173,XP_025337173.1,C00208,2
R10851__cyto,0.451,XP_025339087.1,C05519,1
R08193__cyto,0.5902,XP_025337582.1,C00357,1
R02164__mito,29.9873,XP_025335144.1,C01967,10
R07486__cyto,1.0582,XP_025334820.1,C15782,1
R04326__cyto,0.1573,XP_025338628.1,C03838,2
R01986__cyto,26.4859,XP_025338982.1,C00555,2
R12205__cyto,0.9485,XP_025339212.1,C02050,1
R01327__cyto,39.152,XP_025335695.1,C00081,8
R07324__cyto,7.1165,XP_025338620.1,C00092,1
R03460__cyto,12.5079,XP_025336072.1,C00074,2
R03245__cyto,11.9243,XP_025336572.1,C01107,1
R06838__cyto,181.1824,XP_025337424.1,C12838,1
R11063__cyto,2.0084,XP_025334877.1,C00155,2
R01395__cyto,0.4181,XP_025337064.1,C01563,2
R07392__cyto,116.059,XP_025338179.1,C04582,1
R05000__mito,0.6569,XP_025334513.1,C00156,2
R01549__cyto,32.5352,XP_025335695.1,C00299,2
R02315__cyto,6.9563,XP_025337457.1,C00449,1
R01010__cyto,47.9858,XP_025336664.1,C00111,7
R00802__cyto,7.9929,XP_025337984.1,C00089,1
R00189__cyto,4.4558,XP_025337860.1,C00857,1
R10040__cyto,16.203,XP_025338174.1,C01594,3
R01011__mito,7.2162,XP_025336550.1,C00184,1
R01826__cyto,35.3189,XP_025336206.1,C00074,4
R01013__cyto,29.5533,XP_025337846.1,C00111,11
R02534__cyto,0.139,XP_025338566.1,C00547,1
R01730__cyto,15.1112,XP_025336571.1,C00254,1
R02038__cyto,0.1602,XP_025338714.1,C00346,2
R01923__pero,7.4288,XP_025337043.1,C00154,14
R03243__cyto,0.3595,XP_025334622.1,C01100,2
R00188__cyto,9.969,XP_025338294.1,C00054,1
R04672__mito,4.8909,XP_025338499.1,C00068,4
R01829__cyto,8.5917,XP_025337072.1,C00447,1
R06521__cyto,8.1139,XP_025338874.1,C06124,9
R07606__cyto,9.2288,XP_025337043.1,C00073,7
R02976__cyto,1.4882,XP_025336805.1,C00836,1
R04328__cyto,9.723,XP_025338347.1,C01189,6
R00742__cyto,5.6618,XP_025335068.1,C00024,2
R03522__cyto,37.6148,XP_025336358.1,C00051,3
