gene,length_aa,MW_kDa
XP_025343668.1,437,47.97
XP_025342007.1,426,47.02
XP_025343420.1,413,47.52
XP_025343109.1,509,58.46
XP_025343590.1,1129,128.07
XP_025340633.1,844,95.2
XP_025343893.1,1480,169.83
XP_025342456.1,493,57.1
XP_025342797.1,633,69.92
XP_025340519.1,551,61.35
XP_025340747.1,504,55.58
XP_025341213.1,386,43.2
XP_025340359.1,369,40.41
XP_025341421.1,551,62.32
XP_025340416.1,369,40.74
XP_025340580.1,161,18.25
XP_025340969.1,162,18.39
XP_025341251.1,493,53.87
XP_025344650.1,501,54.38
XP_025339652.1,527,57.73
XP_025343425.1,372,41.27
XP_025341095.1,384,43.0
XP_025341286.1,709,79.57
XP_025340831.1,662,75.06
XP_025340215.1,298,34.16
XP_025340778.1,348,37.83
XP_025343786.1,2208,244.07
XP_025341978.1,420,47.13
XP_025344459.1,228,25.24
XP_025343970.1,343,40.0
XP_025339906.1,298,33.57
XP_025341764.1,248,27.36
XP_025340516.1,263,30.38
XP_025342004.1,323,35.59
XP_025344156.1,401,44.12
XP_025341871.1,393,42.84
XP_025340933.1,320,34.75
XP_025342378.1,467,50.85
XP_025342843.1,308,33.72
XP_025342180.1,1350,152.01
XP_025340862.1,483,54.79
XP_025344426.1,475,53.32
XP_025342585.1,471,52.06
XP_025339683.1,330,36.28
XP_025344485.1,397,44.79
XP_025339849.1,586,65.11
XP_025341283.1,220,24.1
XP_025343677.1,429,47.46
XP_025339868.1,2026,229.47
XP_025342314.1,1835,211.22
XP_025339819.1,1888,216.39
XP_025342042.1,496,57.1
XP_025340400.1,407,46.56
XP_025343635.1,425,49.18
XP_025342561.1,700,79.41
XP_025339653.1,456,50.8
XP_025343189.1,400,41.7
XP_025339867.1,2212,246.24
XP_025341029.1,248,26.65
XP_025343368.1,549,60.72
XP_025341211.1,259,29.77
XP_025339942.1,157,16.8
XP_025340009.1,629,68.75
XP_025342135.1,157,17.47
XP_025342953.1,172,19.32
XP_025341275.1,517,57.46
XP_025344245.1,429,47.24
XP_025343407.1,1131,124.7
XP_025340838.1,250,28.04
XP_025343207.1,336,36.62
XP_025343500.1,445,49.03
XP_025344545.1,564,62.54
XP_025343046.1,288,31.16
XP_025343882.1,372,40.56
XP_025344244.1,437,48.94
XP_025341378.1,352,39.33
XP_025340654.1,400,43.81
XP_025340955.1,366,39.41
XP_025341539.1,837,93.41
XP_025342725.1,293,32.9
XP_025342582.1,247,27.47
XP_025344313.1,244,27.5
XP_025343525.1,522,59.94
XP_025341841.1,311,34.44
XP_025341664.1,315,34.59
XP_025339851.1,509,57.11
XP_025341015.1,416,44.59
XP_025341167.1,345,37.95
XP_025343829.1,535,59.72
XP_025344569.1,455,50.6
XP_025340982.1,358,38.89
XP_025339842.1,316,34.82
XP_025343159.1,325,35.34
XP_025341036.1,936,103.07
XP_025340672.1,590,64.76
XP_025340322.1,392,42.76
XP_025343733.1,153,16.19
XP_025344139.1,473,52.1
XP_025342351.1,223,26.01
XP_025341845.1,355,38.52
XP_025341282.1,366,39.58
XP_025340184.1,490,55.21
XP_025342133.1,742,83.78
XP_025340851.1,333,36.33
XP_025341915.1,165,18.09
XP_025343429.1,308,34.43
XP_025342287.1,584,67.07
XP_025344629.1,435,46.21
XP_025344388.1,502,57.22
XP_025341336.1,1053,120.08
XP_025340981.1,321,35.74
XP_025342691.1,304,33.29
XP_025342331.1,1619,184.96
XP_025340647.1,252,28.27
XP_025344326.1,304,32.17
XP_025340797.1,360,40.76
XP_025340346.1,218,24.6
XP_025339724.1,470,52.08
XP_025340590.1,501,54.95
XP_025342659.1,374,42.63
XP_025341256.1,427,46.13
XP_025341071.1,520,56.76
XP_025340620.1,787,85.73
XP_025341420.1,507,57.44
XP_025339566.1,815,93.27
XP_025340541.1,1505,167.33
XP_025340357.1,684,75.7
XP_025340227.1,464,51.33
XP_025343979.1,235,25.72
XP_025340922.1,219,23.76
XP_025342352.1,188,21.14
XP_025342416.1,229,25.39
XP_025342647.1,149,16.65
XP_025339587.1,350,39.76
XP_025339753.1,230,25.09
XP_025339846.1,759,81.86
XP_025341212.1,415,45.36
XP_025342312.1,276,30.69
XP_025342372.1,514,56.75
XP_025344025.1,321,36.85
XP_025341789.1,317,34.29
XP_025341038.1,1403,157.14
XP_025340477.1,455,52.88
XP_025344041.1,590,66.59
XP_025339829.1,496,56.09
XP_025340761.1,363,39.04
XP_025340587.1,383,41.51
XP_025340796.1,371,40.87
XP_025339803.1,186,21.24
XP_025341844.1,427,47.75
XP_025342200.1,468,51.59
XP_025343198.1,1080,123.74
XP_025341179.1,973,110.38
XP_025342929.1,558,61.01
XP_025341769.1,880,98.78
XP_025342466.1,296,33.18
XP_025342937.1,288,32.09
XP_025342064.1,521,56.03
XP_025343707.1,499,55.82
XP_025339981.1,238,26.76
XP_025339630.1,2428,275.06
XP_025342571.1,599,66.22
XP_025342612.1,271,30.21
XP_025341031.1,594,68.37
XP_025344585.1,1322,148.49
XP_025340372.1,514,57.57
XP_025342824.1,425,45.98
XP_025343944.1,388,42.96
XP_025339990.1,178,19.64
XP_025343141.1,369,39.5
XP_025341396.1,309,35.7
XP_025343343.1,295,33.82
XP_025340804.1,736,84.28
XP_025344077.1,753,85.97
XP_025344089.1,757,86.58
XP_025341386.1,784,89.22
XP_025339553.1,869,97.51
XP_025343646.1,242,26.88
XP_025341572.1,404,45.5
XP_025342500.1,562,64.98
XP_025344149.1,461,52.91
XP_025344775.1,445,49.4
XP_025342479.1,761,82.11
XP_025339650.1,920,103.39
XP_025340440.1,373,41.32
XP_025341381.1,1106,125.09
XP_025344293.1,351,38.13
XP_025343715.1,679,77.18
XP_025340186.1,553,62.58
XP_025343181.1,357,39.4
XP_025341759.1,339,37.11
XP_025343241.1,506,56.88
XP_025343273.1,299,33.83
XP_025343342.1,328,36.64
XP_025344736.1,369,41.3
XP_025339651.1,372,42.67
XP_025343157.1,964,108.23
XP_025343176.1,645,72.04
XP_025342293.1,611,69.47
XP_025341380.1,467,52.94
XP_025342395.1,213,23.24
XP_025340210.1,2462,274.95
XP_025342829.1,281,33.87
XP_025342390.1,438,48.58
XP_025343243.1,1800,205.92
XP_025342449.1,221,24.4
XP_025341210.1,376,41.4
XP_025343063.1,183,20.06
XP_025341094.1,314,34.39
XP_025344711.1,228,26.62
XP_025341739.1,449,48.81
XP_025344264.1,461,51.26
XP_025340954.1,525,58.45
XP_025344009.1,382,43.66
XP_025342572.1,1294,145.14
XP_025343092.1,821,91.84
XP_025341339.1,572,65.79
XP_025344536.1,748,83.2
XP_025342403.1,2441,273.14
XP_025342001.1,458,52.13
XP_025343988.1,951,105.59
XP_025344229.1,996,111.04
XP_025343569.1,864,95.28
XP_025340113.1,428,48.1
XP_025341288.1,1723,197.89
XP_025340405.1,466,53.09
XP_025344582.1,1119,124.76
XP_025339677.1,395,45.76
XP_025341888.1,853,97.74
XP_025340424.1,897,102.17
XP_025342767.1,413,45.33
XP_025343670.1,517,57.68
XP_025342260.1,965,110.49
XP_025341926.1,1156,129.98
XP_025341366.1,973,110.8
XP_025343048.1,971,110.78
XP_025341984.1,254,26.96
XP_025342259.1,355,39.97
XP_025340084.1,441,48.35
XP_025340125.1,646,71.05
XP_025340878.1,505,56.13
XP_025339947.1,826,93.21
XP_025340307.1,329,39.14
XP_025343700.1,1349,147.16
XP_025344216.1,480,54.49
XP_025343524.1,508,55.69
XP_025342546.1,208,23.93
XP_025340002.1,284,31.71
XP_025342822.1,312,35.08
XP_025342279.1,458,52.25
XP_025340024.1,457,50.86
XP_025341416.1,263,30.71
XP_025344710.1,418,47.9
XP_025343020.1,546,60.24
XP_025342318.1,1852,210.0
XP_025342625.1,246,27.78
XP_025343089.1,252,27.62
XP_025342724.1,570,64.43
XP_025343328.1,185,20.87
XP_025342640.1,369,41.84
XP_025343751.1,361,41.08
XP_025343964.1,369,40.94
XP_025342903.1,428,48.58
XP_025341853.1,347,38.57
XP_025341083.1,332,36.69
XP_025340375.1,1024,110.54
XP_025341397.1,308,35.39
XP_025341685.1,1151,129.03
XP_025340389.1,606,69.13
XP_025340238.1,1547,173.69
XP_025342485.1,340,37.42
XP_025340326.1,330,35.48
XP_025344135.1,590,65.65
XP_025340088.1,376,40.58
XP_025339709.1,507,56.51
XP_025339622.1,373,40.35
XP_025341770.1,440,49.73
XP_025341277.1,379,41.24
XP_025342332.1,298,33.19
XP_025343158.1,243,26.47
XP_025344777.1,304,34.47
XP_025340793.1,294,32.87
XP_025340368.1,284,31.66
XP_025342085.1,395,44.57
XP_025344085.1,1427,157.81
XP_025339699.1,373,40.06
XP_025342482.1,362,40.0
XP_025340370.1,535,58.39
XP_025343471.1,573,64.28
XP_025342990.1,617,69.45
XP_025340645.1,430,46.58
XP_025340952.1,365,42.51
XP_025341005.1,589,64.29
XP_025343096.1,292,33.23
XP_025344173.1,344,38.19
XP_025342541.1,750,84.42
XP_025343290.1,780,87.63
XP_025344750.1,453,52.35
XP_025343307.1,792,89.29
XP_025340452.1,331,35.4
XP_025344088.1,332,35.26
XP_025341782.1,575,64.13
XP_025340471.1,320,35.04
XP_025344558.1,236,27.12
XP_025341362.1,461,53.66
XP_025343085.1,259,30.14
XP_025342760.1,555,61.41
XP_025344271.1,1408,158.29
XP_025341880.1,166,18.41
XP_025340150.1,666,73.33
XP_025341635.1,345,38.77
