gene,length_aa,MW_kDa
XP_085453153.1,483,53.36
XP_085452885.1,1119,128.34
XP_085453365.1,466,53.14
XP_085455130.1,730,82.96
XP_085455278.1,1041,113.18
XP_085452817.1,361,41.03
XP_085451420.1,200,21.52
XP_085451422.1,265,28.56
XP_085451421.1,200,21.23
XP_085451202.1,494,54.07
XP_085451086.1,553,62.66
XP_085453613.1,482,54.3
XP_085452049.1,233,27.13
XP_085455406.1,363,42.42
XP_085453933.1,235,25.42
XP_085451799.1,323,35.86
XP_085450795.1,491,54.66
XP_085453872.1,296,32.63
XP_085455242.1,626,70.5
XP_085450576.1,556,60.78
XP_085451171.1,445,50.23
XP_085451005.1,544,62.47
XP_085452898.1,244,26.58
XP_085452899.1,292,31.33
XP_085450769.1,340,37.35
XP_085454155.1,660,76.62
XP_085453296.1,1919,214.26
XP_085452770.1,875,99.65
XP_085452744.1,396,45.36
XP_085453185.1,513,58.44
XP_085451249.1,358,39.64
XP_085452238.1,346,39.1
XP_085450834.1,334,37.0
XP_085451636.1,361,40.11
XP_085452559.1,209,23.65
XP_085450857.1,570,63.0
XP_085451593.1,374,42.34
XP_085451810.1,357,39.37
XP_085454985.1,289,33.41
XP_085450549.1,219,25.05
XP_085454810.1,486,53.48
XP_085455098.1,452,50.95
XP_085453975.1,243,27.35
XP_085451335.1,223,24.8
XP_085454465.1,718,78.55
XP_085452539.1,392,43.57
XP_085450704.1,446,49.22
XP_085451510.1,616,69.37
XP_085453024.1,238,25.27
XP_085452867.1,301,32.75
XP_085452684.1,587,62.7
XP_085451496.1,295,33.62
XP_085455630.1,315,35.61
XP_085452142.1,417,47.45
XP_085452588.1,190,21.09
XP_085455281.1,482,54.7
XP_085454504.1,500,57.65
XP_085454527.1,402,44.4
XP_085454618.1,530,59.23
XP_085454305.1,293,32.33
XP_085451707.1,262,29.42
XP_085452697.1,154,15.99
XP_085454071.1,350,39.49
XP_085450961.1,255,29.52
XP_085453349.1,230,25.4
XP_085454497.1,243,27.34
XP_085450465.1,1015,114.52
XP_085454489.1,145,15.83
XP_085451290.1,418,46.38
XP_085453386.1,322,35.9
XP_085455476.1,338,37.41
XP_085451706.1,258,27.89
XP_085453577.1,331,34.54
XP_085455540.1,580,64.28
XP_085451674.1,171,19.42
XP_085453012.1,398,42.64
XP_085450731.1,249,29.02
XP_085452661.1,233,26.01
XP_085452058.1,249,27.54
XP_085450723.1,770,86.92
XP_085455284.1,676,73.8
XP_085453788.1,412,46.38
XP_085454865.1,421,47.07
XP_085451119.1,506,56.79
XP_085451323.1,225,25.53
XP_085450858.1,752,87.66
XP_085450460.1,636,72.44
XP_085453503.1,416,46.09
XP_085450453.1,534,60.11
XP_085452415.1,320,34.71
XP_085452250.1,376,44.69
XP_085450813.1,405,47.6
XP_085455377.1,653,73.36
XP_085455758.1,377,43.44
XP_085454974.1,459,52.56
XP_085451374.1,474,53.87
XP_085454713.1,356,40.21
XP_085453337.1,279,31.8
XP_085455599.1,444,49.04
XP_085450965.1,526,60.79
XP_085450865.1,752,84.58
XP_085452530.1,487,52.25
XP_085455120.1,400,44.25
XP_085453211.1,767,86.19
XP_085450482.1,205,23.06
XP_085451464.1,566,62.64
XP_085451472.1,540,59.52
XP_085451391.1,455,51.81
XP_085450629.1,552,60.92
XP_085451869.1,180,21.35
XP_085453856.1,623,71.13
XP_085455486.1,486,53.25
XP_085451796.1,469,52.15
XP_085455458.1,487,53.75
XP_085454981.1,441,50.77
XP_085455391.1,434,47.64
XP_085452856.1,431,47.53
XP_085455180.1,846,96.39
XP_085450385.1,1138,128.9
XP_085450557.1,409,47.42
XP_085455481.1,513,58.79
XP_085452344.1,353,40.01
XP_085451705.1,522,60.52
XP_085452056.1,628,69.67
XP_085455057.1,552,61.61
XP_085455301.1,504,55.58
XP_085454399.1,387,43.77
XP_085454892.1,369,40.53
XP_085454620.1,551,62.28
XP_085454952.1,369,40.66
XP_085454140.1,162,18.48
XP_085455122.1,161,18.27
XP_085451243.1,502,54.54
XP_085454443.1,493,53.78
XP_085453601.1,532,58.62
XP_085450552.1,372,41.47
XP_085454273.1,319,35.81
XP_085454480.1,709,80.04
XP_085453989.1,662,74.99
XP_085451542.1,299,34.33
XP_085455334.1,348,37.84
XP_085452227.1,2198,243.08
XP_085451439.1,231,25.66
XP_085452427.1,332,38.71
XP_085453485.1,298,33.08
XP_085450940.1,248,27.62
XP_085455054.1,251,29.21
XP_085450775.1,394,42.9
XP_085452853.1,323,35.54
XP_085452619.1,403,44.19
XP_085454099.1,320,34.79
XP_085453149.1,467,50.81
XP_085455757.1,308,33.9
XP_085453039.1,646,71.98
XP_085453588.1,878,100.19
XP_085454022.1,483,54.93
XP_085451834.1,470,52.03
XP_085451466.1,473,53.25
XP_085453633.1,331,36.63
XP_085451415.1,399,45.42
XP_085454477.1,220,24.2
XP_085452105.1,426,46.92
XP_085453827.1,1771,203.87
XP_085453772.1,1888,216.63
XP_085454936.1,416,47.82
XP_085452895.1,496,57.08
XP_085451062.1,429,49.54
XP_085451809.1,686,78.17
XP_085453602.1,457,51.21
XP_085455399.1,400,41.44
XP_085453825.1,2271,253.56
XP_085454201.1,248,26.77
XP_085450611.1,531,58.82
XP_085453328.1,629,68.98
XP_085454397.1,259,29.75
XP_085453444.1,157,16.87
XP_085455642.1,171,19.23
XP_085452989.1,177,19.54
XP_085454468.1,517,57.56
XP_085452705.1,432,48.07
XP_085451802.1,430,47.57
XP_085450568.1,1145,126.49
XP_085453997.1,250,28.2
XP_085453944.1,334,36.28
XP_085453945.1,334,36.51
XP_085450477.1,445,49.02
XP_085451358.1,558,61.85
XP_085452333.1,373,40.84
XP_085455548.1,367,39.87
XP_085452704.1,437,49.01
XP_085454574.1,385,43.15
XP_085455205.1,400,44.05
XP_085454124.1,366,39.53
XP_085454747.1,825,91.92
XP_085451977.1,293,32.86
XP_085451831.1,246,27.33
XP_085452780.1,236,26.53
XP_085450451.1,522,59.72
XP_085450982.1,316,34.69
XP_085450802.1,307,34.04
XP_085453807.1,512,57.85
XP_085454186.1,416,44.44
XP_085454348.1,377,41.43
XP_085450907.1,401,44.25
XP_085451330.1,419,45.85
XP_085452274.1,543,61.32
XP_085455432.1,348,37.95
XP_085454154.1,356,38.92
XP_085453797.1,367,39.89
XP_085454209.1,553,61.1
XP_085455224.1,591,64.7
XP_085454792.1,391,42.99
XP_085452171.1,153,16.29
XP_085452602.1,504,55.58
XP_085453174.1,218,25.29
XP_085450798.1,359,38.89
XP_085454476.1,366,39.56
XP_085451573.1,489,55.07
XP_085452987.1,743,83.99
XP_085454011.1,347,38.03
XP_085450736.1,187,20.78
XP_085450548.1,324,36.53
XP_085453242.1,585,67.4
XP_085451266.1,324,34.39
XP_085451135.1,502,57.59
XP_085454531.1,1053,120.37
XP_085454153.1,321,36.05
XP_085451941.1,463,51.61
XP_085453194.1,531,61.29
XP_085455194.1,250,28.28
XP_085452793.1,234,25.58
XP_085455354.1,357,40.8
XP_085454769.1,217,24.57
XP_085455132.1,500,55.18
XP_085453673.1,470,52.18
XP_085451905.1,375,42.51
XP_085454448.1,427,46.55
XP_085454246.1,524,56.36
XP_085455166.1,780,84.9
XP_085454619.1,507,57.38
XP_085455237.1,289,32.52
XP_085455080.1,1082,120.03
XP_085453512.1,819,93.4
XP_085454890.1,685,76.49
XP_085451529.1,465,51.07
XP_085454088.1,219,23.76
XP_085451666.1,228,25.3
XP_085453173.1,178,20.17
XP_085451893.1,149,16.68
XP_085453533.1,333,37.93
XP_085453704.1,230,25.14
XP_085453801.1,750,81.02
XP_085454398.1,415,45.72
XP_085453216.1,276,30.65
XP_085453155.1,533,59.37
XP_085452484.1,320,36.56
XP_085450861.1,317,34.24
XP_085454212.1,571,62.25
XP_085452499.1,591,66.63
XP_085455015.1,453,52.8
XP_085453783.1,496,56.05
XP_085455315.1,363,38.98
XP_085455129.1,384,41.76
XP_085455353.1,370,40.77
XP_085453756.1,230,26.12
XP_085450799.1,429,47.84
XP_085453064.1,467,51.45
XP_085453955.1,1080,124.26
XP_085454361.1,973,111.73
XP_085455616.1,559,61.25
XP_085450945.1,632,69.83
XP_085455624.1,289,32.54
XP_085451715.1,296,33.61
XP_085452916.1,521,56.2
XP_085452141.1,498,55.66
XP_085453408.1,238,26.76
XP_085453340.1,87,9.76
XP_085453575.1,93,10.47
XP_085451818.1,304,33.35
XP_085451862.1,274,30.64
XP_085451312.1,547,62.13
XP_085454204.1,594,68.46
XP_085454906.1,514,57.63
XP_085452084.1,425,45.72
XP_085453305.1,178,19.56
XP_085452398.1,388,43.07
XP_085455450.1,373,40.01
XP_085450635.1,295,34.34
XP_085454594.1,308,35.7
XP_085452550.1,755,86.27
XP_085454582.1,780,88.94
XP_085453498.1,870,98.77
XP_085452538.1,755,86.27
XP_085455361.1,736,84.55
XP_085455371.1,237,26.15
XP_085454862.1,405,45.66
XP_085452612.1,500,56.91
XP_085451751.1,603,69.33
XP_085451085.1,446,49.5
XP_085451730.1,781,84.52
XP_085454978.1,369,40.88
XP_085453599.1,909,102.4
XP_085454578.1,1170,132.12
XP_085452762.1,351,38.54
XP_085451572.1,577,65.46
XP_085452150.1,685,78.24
XP_085455407.1,358,39.63
XP_085450937.1,341,37.33
XP_085454415.1,465,52.39
XP_085453910.1,507,57.05
XP_085453875.1,299,33.74
XP_085450636.1,327,36.73
XP_085451146.1,369,41.18
XP_085453600.1,372,42.59
XP_085455434.1,1029,116.62
XP_085455411.1,639,71.81
XP_085453236.1,611,69.59
XP_085454577.1,423,48.47
XP_085453131.1,213,23.6
XP_085451547.1,1304,142.1
XP_085452090.1,276,33.21
XP_085453136.1,395,43.84
XP_085453908.1,1690,193.48
XP_085455530.1,310,34.33
XP_085451699.1,222,24.59
XP_085454396.1,355,39.04
XP_085455526.1,183,20.04
XP_085454272.1,316,34.62
XP_085451173.1,228,26.47
XP_085450917.1,449,48.85
XP_085454123.1,529,58.9
XP_085452728.1,396,43.64
XP_085452467.1,379,43.34
XP_085453123.1,1458,162.18
XP_085454534.1,597,68.79
XP_085455496.1,819,91.95
XP_085451367.1,763,84.56
XP_085451820.1,1291,144.89
XP_085452850.1,458,51.88
XP_085452446.1,951,106.11
XP_085452690.1,958,107.56
XP_085455533.1,390,44.1
XP_085450407.1,861,94.8
XP_085453258.1,427,47.76
XP_085454941.1,463,53.2
XP_085454484.1,725,83.79
XP_085453325.1,1191,135.48
XP_085451316.1,1134,126.74
XP_085453626.1,395,45.65
XP_085450760.1,899,102.67
XP_085454961.1,897,102.37
XP_085455393.1,513,56.82
XP_085452022.1,417,46.64
XP_085455547.1,537,60.49
XP_085451652.1,969,111.07
XP_085450728.1,1157,129.86
XP_085454561.1,985,111.99
XP_085455545.1,999,114.66
XP_085451653.1,355,40.37
XP_085453292.1,440,48.4
XP_085453245.1,646,71.45
XP_085454040.1,515,57.6
XP_085453438.1,317,36.53
XP_085454809.1,330,39.19
XP_085452129.1,1350,146.98
XP_085452674.1,481,54.51
XP_085450452.1,494,54.33
XP_085451795.1,208,23.9
XP_085452082.1,312,35.12
XP_085453319.1,284,31.98
XP_085451632.1,458,52.28
XP_085453343.1,423,47.01
XP_085454615.1,278,32.47
XP_085451174.1,418,47.88
XP_085455708.1,512,56.28
XP_085453208.1,514,58.3
XP_085451874.1,245,27.72
XP_085455503.1,252,27.79
XP_085451976.1,567,64.37
XP_085450652.1,233,26.59
XP_085451884.1,378,42.89
XP_085452190.1,273,31.37
XP_085452420.1,369,40.72
XP_085455584.1,429,48.71
XP_085450790.1,327,36.62
XP_085454259.1,333,37.06
XP_085454909.1,1019,110.24
XP_085454595.1,308,35.52
XP_085454925.1,602,68.72
XP_085450863.1,1149,128.54
XP_085451518.1,679,76.51
XP_085451735.1,340,37.44
XP_085454788.1,330,35.72
XP_085452598.1,590,65.5
XP_085453288.1,379,40.94
XP_085453658.1,509,57.02
XP_085453569.1,373,40.25
XP_085450946.1,475,53.12
XP_085454470.1,378,41.27
XP_085453192.1,269,29.87
XP_085455433.1,243,26.7
XP_085455350.1,294,32.84
XP_085454902.1,284,31.71
XP_085451082.1,304,34.56
XP_085452938.1,400,45.86
XP_085452546.1,1432,158.42
XP_085453649.1,378,40.59
XP_085451733.1,362,40.05
XP_085454904.1,535,58.54
XP_085455679.1,647,72.84
XP_085450528.1,573,64.24
XP_085455192.1,430,46.62
XP_085454121.1,366,42.31
XP_085454176.1,589,64.26
XP_085455492.1,309,34.97
XP_085452635.1,345,38.29
XP_085451789.1,747,84.5
XP_085451111.1,455,52.66
XP_085453864.1,790,89.61
XP_085450673.1,794,89.62
XP_085454991.1,331,35.34
XP_085452549.1,332,35.38
XP_085450958.1,575,64.01
XP_085455009.1,328,35.55
XP_085451345.1,267,31.0
XP_085454557.1,462,53.59
XP_085455506.1,271,31.54
XP_085452015.1,555,61.64
XP_085452736.1,281,32.17
XP_085450767.1,168,18.63
XP_085451603.1,681,74.76
XP_085451015.1,345,38.85
XP_085452587.1,385,42.36
