reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R02439__mito,8.1136,XP_085451463.1,C00508,1
R01288__cyto,7.6312,XP_085454910.1,C00283,2
R07396__cyto,97.1159,XP_085453977.1,C01180,2
R02853__cyto,32.0734,XP_085451463.1,C02532,1
R03036__cyto,12.6562,XP_085451775.1,C00882,4
R05002__cyto,27.9948,XP_085454232.1,C00096,56
R01960__cyto,2.3092,XP_085451597.1,C00328,1
R02113__cyto,28.56,XP_085454232.1,C00029,56
R01051__cyto,39.7708,XP_085455608.1,C00121,1
R00974__cyto,0.4567,XP_085451960.1,C00380,1
R03661__cyto,81.0888,XP_085452264.1,C00148,2
R00344__mito,7.9628,XP_085451772.1,C00022,2
R07024__cyto,35.3815,XP_085452152.1,C00051,8
R00278__cyto,1.4882,XP_085453664.1,C00627,2
R07084__cyto,35.3815,XP_085452152.1,C00051,8
R01965__cyto,10.4855,XP_085451923.1,C00329,2
R02558__cyto,5.6913,XP_085453992.1,C00844,3
R00602__cyto,588.2042,XP_085450402.1,C00027,2
R01736__cyto,34.7081,XP_085453499.1,C03451,1
R01626__cyto,3.4576,XP_085452617.1,C00083,1
R05733__cyto,0.6854,XP_085453196.1,C04814,1
R01209__mito,1.3881,XP_085452854.1,C04039,1
R00316__cyto,1.5855,XP_085455048.1,C00033,2
R03601__cyto,3.3851,XP_085451991.1,C00979,2
R08120__cyto,2.607,XP_085450431.1,C16477,1
R01600__cyto,22.9348,XP_085455502.1,C00221,3
R01710__cyto,1.4882,XP_085453664.1,C00534,2
R03217__cyto,2.2359,XP_085454910.1,C01077,2
R07134__cyto,1.9803,XP_085453199.1,C01904,1
R02670__cyto,13.1642,XP_085450402.1,C00632,1
R04859__cyto,10.5689,XP_085455189.1,C00979,4
R00988__cyto,33.014,XP_085454750.1,C05653,1
R10065__cyto,7.565,XP_085451463.1,C01245,1
R04371__cyto,0.7182,XP_085454083.1,C05662,1
R07091__cyto,35.3815,XP_085452152.1,C00051,8
R01431__cyto,7.217,XP_085453625.1,C00379,2
R01321__cyto,0.8978,XP_085452120.1,C00307,1
R07406__cyto,44.5949,XP_085454179.1,C07335,4
R09882__mito,9.1197,XP_085451775.1,C04058,4
R00227__mito,3.353,XP_085451777.1,C00024,2
R03648__cyto,7.2644,XP_085452262.1,C00152,2
R05616__cyto,0.0622,XP_085450702.1,C01230,2
R01799__mito,27.5501,XP_085454807.1,C00063,1
R09376__cyto,0.4132,XP_085455606.1,C01304,1
R11101__cyto,19.4726,XP_085454794.1,C17234,3
R00772__cyto,23.8315,XP_085450493.1,C00275,1
R02059__cyto,6.4864,XP_085455504.1,C00357,1
R01698__mito,21.05,XP_085453784.1,C00579,1
R04751__cyto,38.2205,XP_085454068.1,C05270,3
R00937__mito,310.3852,XP_085453666.1,C00101,1
R11312__cyto,0.1355,XP_085452528.1,C20246,2
R02404__mito,7.3126,XP_085453468.1,C00490,1
R05510__cyto,17.6401,XP_085450431.1,C07090,1
R09477__cyto,7.217,XP_085453625.1,C00379,1
R05168__cyto,67.087,XP_085454571.1,C06376,4
R04920__cyto,0.737,XP_085452120.1,C05673,1
R02235__mito,764.5214,XP_085453666.1,C00415,1
R05506__cyto,44.3308,XP_085453932.1,C07118,9
R04144__cyto,5.1465,XP_085453937.1,C03090,2
R03758__cyto,46.2637,XP_085454179.1,C03508,4
R00708__cyto,12.2356,XP_085450883.1,C03912,1
R01279__pero,33.161,XP_085454068.1,C00154,3
R10170__cyto,7.7564,XP_085451363.1,C04411,1
R05234__cyto,14.6019,XP_085455283.1,C06612,4
R03158__cyto,0.6669,XP_085453593.1,C01013,1
R12404__cyto,0.6237,XP_085453729.1,C22112,1
R02668__cyto,16.8214,XP_085453106.1,C03227,1
R10548__cyto,32.384,XP_085454781.1,C11174,1
R12399__cyto,1.4741,XP_085454977.1,C22121,5
R00332__cyto,12.0198,XP_085450594.1,C00144,1
R12024__mito,25.726,XP_085453656.1,C21858,1
R01752__cyto,24.8172,XP_085453865.1,C00577,3
R04582__cyto,0.4276,XP_085450700.1,C00120,1
R02617__cyto,55.6744,XP_085453932.1,C00093,12
R01086__cyto,7.5183,XP_085452266.1,C03406,1
R10056__cyto,90.465,XP_085453902.1,C00026,7
R02396__cyto,5.2931,XP_085454916.1,C00024,2
R00756__cyto,18.2428,XP_085451508.1,C00085,2
R04863__cyto,3.9475,XP_085454956.1,C05560,1
R07497__cyto,19.2661,XP_085451523.1,C04525,1
R01663__cyto,0.1182,XP_085452255.1,C00239,1
R04941__cyto,0.6835,XP_085453974.1,C05699,1
R11099__pero,9.9347,XP_085455077.1,C20904,1
R05046__cyto,0.8051,XP_085450867.1,C05922,1
R00582__cyto,32.509,XP_085454775.1,C01005,1
R00405__mito,0.3385,XP_085453468.1,C00042,1
R00770__cyto,19.2178,XP_085451508.1,C00081,6
R08281__mito,2.2306,XP_085455283.1,C07645,4
R02731__cyto,49.8024,XP_085455657.1,C00665,7
R04946__cyto,2.5966,XP_085454910.1,C01118,2
R00014__mito,12.9973,XP_085453710.1,C00022,12
R00177__cyto,19.1063,XP_085452782.1,C00073,1
R00209__mito,81.231,XP_085451319.1,C00022,4
R01279__cyto,33.161,XP_085454068.1,C00154,3
R02326__cyto,1.0693,XP_085453629.1,C00705,1
R00904__cyto,31.4583,XP_085453865.1,C05665,3
R00515__cyto,4.0105,XP_085450966.1,C00063,4
R00341__cyto,0.591,XP_085454378.1,C00036,1
R08281__cyto,2.2306,XP_085455283.1,C07645,4
R00925__cyto,1.2978,XP_085455048.1,C00163,2
R03970__cyto,2.8567,XP_085451031.1,C00025,2
R00236__cyto,6.5301,XP_085455048.1,C05993,2
R02731__mito,49.8024,XP_085455657.1,C00665,7
R08964__cyto,15.1517,XP_085452618.1,C11526,1
R01274__cyto,0.9683,XP_085454824.1,C00154,1
R09510__cyto,90.465,XP_085453902.1,C00026,8
R02283__cyto,2.167,XP_085451781.1,C00437,2
R04557__cyto,4.9248,XP_085451602.1,C04671,1
R00751__cyto,1.2305,XP_085452121.1,C00188,2
R00513__cyto,42.8154,XP_085454042.1,C00475,1
R03313__cyto,3.7167,XP_085451346.1,C03287,1
R02026__cyto,5.3715,XP_085455189.1,C01077,4
R04922__cyto,0.9271,XP_085452120.1,C05674,1
R04037__cyto,1.4458,XP_085455142.1,C02741,1
R04779__cyto,18.2428,XP_085451508.1,C05345,2
R02340__cyto,5.4435,XP_085455034.1,C03506,1
R03066__cyto,3.3666,XP_085452648.1,C01300,2
R01574__cyto,7.2265,XP_085454543.1,C00216,2
R03777__pero,36.739,XP_085454068.1,C01944,3
R00287__cyto,3.4552,XP_085450966.1,C00029,4
R04301__cyto,125.353,XP_085454410.1,C03758,1
R02106__cyto,2.9977,XP_085452079.1,C00366,1
R01880__cyto,23.1206,XP_085454042.1,C00299,4
R01708__cyto,32.8797,XP_085454179.1,C00314,4
R01818__cyto,9.9739,XP_085454311.1,C00275,1
R02061__cyto,0.0227,XP_085453885.1,C00129,2
R04206__cyto,227.8971,XP_085454029.1,C03356,4
R07888__cyto,30.5066,XP_085454068.1,C16327,3
R00257__cyto,24.1489,XP_085455532.1,C00064,2
R04426__cyto,5.3318,XP_085453063.1,C04411,1
R03013__cyto,1.2959,XP_085452263.1,C01100,1
R08244__cyto,4.0597,XP_085452087.1,C16618,2
R10288__cyto,133.1783,XP_085454029.1,C04899,4
R01926__cyto,3.6483,XP_085453153.1,C00319,1
R00014__cyto,12.9973,XP_085453710.1,C00022,12
R03425__mito,1.0617,XP_085455278.1,C00037,1
R00754__cyto,81.0826,XP_085455283.1,C00469,4
R03197__cyto,5.3506,XP_085452817.1,C01051,1
R10953__cyto,8.3628,XP_085451463.1,C01272,1
R01054__cyto,2.2561,XP_085451333.1,C00301,1
R01290__cyto,0.8018,XP_085451202.1,C00065,2
R02715__mito,55.4228,XP_085451086.1,C00652,1
R04559__cyto,35.595,XP_085453613.1,C04823,1
R02324__cyto,39.6021,XP_085452049.1,C03150,1
R00754__mito,81.0826,XP_085455283.1,C00469,4
R07505__cyto,3.2457,XP_085455406.1,C15777,2
R04506__cyto,18.7479,XP_085454779.1,C05445,3
R03348__mito,3.7686,XP_085453933.1,C00119,2
R08575__cyto,166.0456,XP_085451799.1,C00118,2
R01007__cyto,2.3713,XP_085450795.1,C00043,4
R04444__mito,6.405,XP_085450883.1,C04281,1
R00897__cyto,49.9637,XP_085455189.1,C00283,4
R10147__cyto,7.1553,XP_085453872.1,C00441,2
R12657__mito,59.6353,XP_085455431.1,C03226,13
R08639__cyto,19.4924,XP_085455242.1,C00103,2
R02872__cyto,21.1365,XP_085451171.1,C03428,1
R01021__cyto,2.2583,XP_085451005.1,C00114,1
R07389__cyto,0.8978,XP_085452120.1,C00307,1
R10089__cyto,79.3793,XP_085452898.1,C00118,6
R08306__cyto,24.0973,XP_085455283.1,C16586,4
R02091__cyto,42.8154,XP_085454042.1,C00475,4
R07330__cyto,28.3803,XP_085455431.1,C15571,14
R05578__cyto,12.0,XP_085453185.1,C00025,1
R04887__cyto,6.9676,XP_085454410.1,C05580,1
R03530__cyto,1.1075,XP_085453629.1,C01344,1
R04221__cyto,148.8254,XP_085452238.1,C03440,4
R04001__cyto,7.7564,XP_085451363.1,C04411,1
R07116__cyto,35.3815,XP_085452152.1,C00051,8
R02098__cyto,4.0119,XP_085452559.1,C00365,1
R03471__cyto,4.4104,XP_085450857.1,C01279,1
R01775__cyto,22.1849,XP_085454179.1,C00263,4
R02096__cyto,42.8154,XP_085454042.1,C00475,4
R02101__cyto,27.7277,XP_085451593.1,C00143,2
R01070__cyto,0.3546,XP_085451810.1,C05378,1
R11945__mito,61.3479,XP_085451335.1,C01967,7
R03409__cyto,0.8364,XP_085452539.1,C04494,1
R02748__cyto,6.226,XP_085452422.1,C05512,1
R01496__cyto,21.0291,XP_085453932.1,C00319,8
R00239__cyto,7.9075,XP_085450704.1,C00025,1
R10035__cyto,4.6594,XP_085453992.1,C05143,3
R06516__cyto,93.4618,XP_085452156.1,C06124,1
R00995__pero,2.2209,XP_085451510.1,C06030,1
R02093__cyto,1.086,XP_085453629.1,C00363,1
R01056__cyto,15.5369,XP_085453024.1,C00117,1
R02047__mito,1.4882,XP_085454977.1,C01188,4
R01665__cyto,2.0331,XP_085452867.1,C00705,1
R01059__cyto,11.5141,XP_085452684.1,C00577,1
R00129__cyto,130.2961,XP_085454029.1,C04856,4
R02372__cyto,42.8154,XP_085454042.1,C00475,4
R08359__cyto,9.5941,XP_085455630.1,C01672,4
R02094__cyto,4.2423,XP_085452559.1,C00364,1
R01724__cyto,47.9086,XP_085452142.1,C01185,1
R08091__cyto,68.8997,XP_085453932.1,C16466,9
R00191__cyto,0.9259,XP_085454950.1,C00575,1
R03018__cyto,3.9114,XP_085451463.1,C00864,1
R07113__cyto,118.2364,XP_085452152.1,C11088,8
R11945__cyto,61.3479,XP_085451335.1,C01967,7
R00569__cyto,21.5043,XP_085453721.1,C00063,2
R03238__cyto,18.2428,XP_085451508.1,C01097,2
R07003__cyto,35.3815,XP_085452152.1,C00051,8
R07384__cyto,1.3941,XP_085452120.1,C00055,1
R03348__cyto,3.7686,XP_085453933.1,C00119,2
R07274__cyto,14.8879,XP_085451991.1,C00283,2
R05639__cyto,0.3891,XP_085451602.1,C05108,1
R07494__cyto,1.088,XP_085453729.1,C15808,1
R03458__cyto,47.2981,XP_085454179.1,C04454,4
R07896__pero,31.591,XP_085454068.1,C16335,3
R01857__cyto,0.5905,XP_085453629.1,C00361,1
R12173__cyto,14.191,XP_085454504.1,C00154,2
R00710__cyto,16.3985,XP_085453865.1,C00084,3
R04420__cyto,0.3618,XP_085454527.1,C04188,1
R02568__cyto,0.3504,XP_085451810.1,C01094,1
R03304__cyto,179.9909,XP_085454410.1,C01161,1
R00026__cyto,19.9237,XP_085453992.1,C00185,3
R00590__pero,4.7613,XP_085452883.1,C00065,2
R01324__mito,78.1878,XP_085454029.1,C00158,3
R00275__cyto,119.1098,XP_085453349.1,C00704,4
R07394__cyto,5.5269,XP_085454497.1,C15651,1
R00964__cyto,23.1206,XP_085454042.1,C00299,1
R00939__mito,310.3852,XP_085453666.1,C00101,1
R09087__cyto,31.9057,XP_085454781.1,C01204,1
R12119__cyto,2.3081,XP_085452763.1,C21918,1
R02850__cyto,22.9348,XP_085455502.1,C00738,4
R00621__mito,14.38,XP_085450465.1,C00068,2
R03084__cyto,9.4137,XP_085454489.1,C00944,2
R07411__cyto,0.6103,XP_085451290.1,C00032,2
R00867__cyto,27.5514,XP_085455502.1,C00095,3
R07491__cyto,3.2457,XP_085455406.1,C15777,1
R01083__cyto,29.1335,XP_085453613.1,C03794,1
R02978__cyto,0.582,XP_085453386.1,C00836,1
R02035__cyto,15.4884,XP_085455476.1,C01236,2
R00342__mito,132.5453,XP_085453577.1,C00149,1
R12152__cyto,16.4781,XP_085455540.1,C04916,1
R00651__cyto,11.2773,XP_085455189.1,C00409,2
R07509__cyto,0.5096,XP_085453196.1,C05108,1
R04945__cyto,2.2359,XP_085454910.1,C01077,2
R02665__cyto,0.3036,XP_085451674.1,C00632,1
R00402__cyto,0.2359,XP_085451602.1,C00042,1
R00782__cyto,34.4832,XP_085453974.1,C00097,2
R07981__cyto,1.7105,XP_085452079.1,C16361,1
R09877__cyto,2.1746,XP_085451333.1,C20176,4
R00870__cyto,26.8925,XP_085454179.1,C00392,4
R03650__cyto,33.7687,XP_085450723.1,C00097,1
R00342__cyto,132.5453,XP_085453577.1,C00149,1
R06590__cyto,2.9575,XP_085455284.1,C00117,2
R01899__mito,5.0511,XP_085454865.1,C00311,2
R03921__cyto,47.8675,XP_085451119.1,C16688,1
R02408__cyto,63.0642,XP_085453974.1,C00491,2
R09420__cyto,37.0264,XP_085454179.1,C16453,5
R00778__cyto,1.6958,XP_085451323.1,C00086,1
R12152__mito,16.4781,XP_085455540.1,C04916,1
R03968__cyto,5.7278,XP_085451363.1,C02504,1
R02297__cyto,11.3195,XP_085452422.1,C01762,1
R00702__cyto,0.8679,XP_085451171.1,C00448,1
R01954__cyto,6.8415,XP_085453503.1,C00327,2
R00529__cyto,20.1592,XP_085450453.1,C00059,1
R00710__mito,16.3985,XP_085453865.1,C00084,3
R04762__cyto,0.5599,XP_085454410.1,C05298,1
R01074__cyto,1.4969,XP_085450700.1,C05921,1
R03596__cyto,1.5681,XP_085452415.1,C01528,1
R07951__pero,194.8517,XP_085454029.1,C16388,3
R12085__cyto,63.3863,XP_085453932.1,C01165,16
R00494__cyto,9.5979,XP_085451031.1,C00051,1
R06366__cyto,18.1531,XP_085454779.1,C02576,3
R06527__cyto,10.4855,XP_085450813.1,C12144,2
R00114__cyto,15.7923,XP_085453432.1,C00025,1
R03654__cyto,2.2683,XP_085455377.1,C00037,1
R03772__cyto,295.8903,XP_085455758.1,C02991,7
R04483__cyto,3.4453,XP_085454552.1,C04840,5
R00927__cyto,0.508,XP_085452799.1,C00024,2
R00719__cyto,18.2306,XP_085453721.1,C00081,2
R03050__mito,4.7846,XP_085454339.1,C00068,4
R03659__cyto,5.3598,XP_085450865.1,C00073,2
R04911__cyto,55.0354,XP_085454750.1,C05648,1
R11319__cyto,205.771,XP_085452058.1,C00068,2
R07948__cyto,16.1886,XP_085454068.1,C03458,3
R01354__cyto,4.8092,XP_085455048.1,C05983,2
R01082__cyto,7.3895,XP_085452530.1,C00149,1
R00994__cyto,7.7351,XP_085453063.1,C00109,1
R05069__mito,2.1987,XP_085455120.1,C06006,1
R09365__cyto,1.3585,XP_085453211.1,C04489,2
R03096__cyto,9.8509,XP_085451464.1,C02693,2
R01899__cyto,5.0511,XP_085454865.1,C00311,2
R12026__cyto,1.1763,XP_085451391.1,C00283,2
R07238__cyto,32.9868,XP_085455431.1,C15527,14
R07364__cyto,32.277,XP_085451869.1,C15606,1
R03646__cyto,0.4903,XP_085453856.1,C00062,1
R00115__cyto,65.6354,XP_085455486.1,C00127,1
R09099__cyto,12.4039,XP_085455458.1,C01217,4
R11319__mito,205.771,XP_085452058.1,C00068,2
R03992__cyto,100.3328,XP_085454981.1,C02593,9
R00926__cyto,4.8092,XP_085455048.1,C05983,2
R09366__cyto,1.0487,XP_085453012.1,C05689,1
R02124__cyto,2.3081,XP_085455283.1,C00473,4
R00271__cyto,4.9668,XP_085452856.1,C00024,4
R01579__cyto,92.9686,XP_085454571.1,C00819,3
R08121__cyto,10.2498,XP_085450431.1,C16476,1
R03552__cyto,46.2295,XP_085453932.1,C00024,14
R00217__mito,219.9792,XP_085454179.1,C00036,5
R02410__cyto,43.7311,XP_085451119.1,C00492,1
R00707__cyto,12.2356,XP_085450883.1,C03912,1
R01959__cyto,65.8973,XP_085454750.1,C02700,1
R00409__pero,40.1183,XP_085455057.1,C04593,1
R07892__pero,31.0035,XP_085454068.1,C16331,3
R01201__cyto,10.4322,XP_085451463.1,C00140,1
R01858__cyto,33.8514,XP_085455301.1,C00022,2
R05724__cyto,3.609,XP_085454399.1,C00533,1
R05071__cyto,2.3233,XP_085455120.1,C06010,1
R00876__cyto,29.0623,XP_085455502.1,C00081,8
R09375__cyto,0.4132,XP_085455606.1,C01304,1
R01920__cyto,9.479,XP_085455630.1,C00134,4
R00494__mito,9.5979,XP_085451031.1,C00051,1
R00217__cyto,219.9792,XP_085454179.1,C00036,5
R05064__cyto,69.2272,XP_085453593.1,C06000,1
R00715__cyto,0.8696,XP_085454892.1,C00449,1
R07140__cyto,15.919,XP_085454179.1,C14180,5
R01138__cyto,22.3372,XP_085455301.1,C00074,1
R01641__cyto,3.8529,XP_085455284.1,C00118,2
R05068__mito,3.1134,XP_085455120.1,C06007,1
R00472__pero,3.5132,XP_085454620.1,C00048,2
R00875__cyto,11.2479,XP_085454952.1,C00794,1
R00274__cyto,131.3662,XP_085455122.1,C00027,4
R00714__cyto,34.6734,XP_085454443.1,C00232,2
R03655__cyto,6.8289,XP_085453601.1,C00135,1
R07136__cyto,1049.1239,XP_085453577.1,C11537,1
R01139__cyto,22.9348,XP_085455502.1,C00031,4
R02940__cyto,54.6888,XP_085453865.1,C05985,3
R01175__cyto,54.8617,XP_085454068.1,C00877,6
R02199__mito,1.8049,XP_085450552.1,C00026,2
R03098__cyto,0.7679,XP_085454956.1,C00956,1
R02530__cyto,638.8655,XP_085454273.1,C03451,1
R01799__cyto,27.5501,XP_085454807.1,C00063,1
R00342__pero,132.5453,XP_085453577.1,C00149,1
R04988__mito,35.4524,XP_085455431.1,C05811,13
R06154__cyto,134.0537,XP_085453989.1,C00218,2
R03991__cyto,0.508,XP_085452799.1,C00024,2
R00185__cyto,0.436,XP_085455334.1,C00212,1
R11098__cyto,9.9969,XP_085455077.1,C20905,1
R01397__cyto,9.8479,XP_085452227.1,C00169,2
R05196__cyto,41.7953,XP_085453932.1,C00031,10
R07393__cyto,45.7493,XP_085455657.1,C15650,8
R01108__cyto,16.6526,XP_085452427.1,C00051,2
R02382__cyto,458.4444,XP_085453989.1,C00483,2
R00965__cyto,0.066,XP_085451510.1,C01103,1
R00619__cyto,0.8475,XP_085453485.1,C00378,1
R12118__cyto,2.3081,XP_085452763.1,C21918,1
R06830__cyto,32.8902,XP_085454179.1,C11822,4
R01518__cyto,25.2094,XP_085450940.1,C00631,2
R00022__cyto,2.4963,XP_085454379.1,C01674,1
R01234__cyto,0.7011,XP_085454950.1,C00942,1
R01049__cyto,37.5817,XP_085452619.1,C00117,4
R00999__cyto,2.5966,XP_085454910.1,C01118,1
R07237__cyto,56.3141,XP_085455431.1,C01051,14
R02750__cyto,21.7117,XP_085455608.1,C00673,1
R07896__cyto,31.591,XP_085454068.1,C16335,3
R06835__cyto,1.3362,XP_085450431.1,C12834,1
R07395__cyto,4.8636,XP_085451439.1,C15650,1
R02222__cyto,13.9086,XP_085454504.1,C00412,2
R04764__cyto,1.0394,XP_085454410.1,C05301,1
R03804__cyto,102.8631,XP_085454571.1,C04131,4
R01513__cyto,16.5621,XP_085453149.1,C00197,1
R02473__cyto,3.292,XP_085455757.1,C00522,2
R01325__cyto,78.1878,XP_085454029.1,C00158,3
R07235__mito,59.6353,XP_085455431.1,C03226,13
R04983__cyto,56.9672,XP_085455431.1,C05803,14
R07953__cyto,0.7187,XP_085452799.1,C16173,2
R00836__cyto,28.56,XP_085454232.1,C00029,58
R07760__cyto,1.1696,XP_085451127.1,C16217,2
R00968__cyto,23.1206,XP_085454042.1,C00299,1
R01325__mito,78.1878,XP_085454029.1,C00158,3
R07015__cyto,10.5437,XP_085451602.1,C06205,1
R02848__cyto,22.9348,XP_085455502.1,C00738,4
R01676__cyto,34.1033,XP_085451834.1,C00242,2
R00650__cyto,8.2898,XP_085453633.1,C00155,1
R01896__cyto,11.8123,XP_085454952.1,C00379,1
R00430__cyto,22.3372,XP_085455301.1,C00074,1
R03681__cyto,3.1698,XP_085451415.1,C00029,1
R04604__cyto,0.4276,XP_085450700.1,C00120,1
R01230__cyto,2.211,XP_085452087.1,C00655,1
R07761__cyto,6.4642,XP_085451602.1,C16218,1
R04325__cyto,19.0675,XP_085454477.1,C00234,2
R01326__cyto,22.9348,XP_085455502.1,C00159,3
R01827__cyto,166.0456,XP_085451799.1,C00118,2
R00524__cyto,1.0527,XP_085452105.1,C00488,1
R07892__cyto,31.0035,XP_085454068.1,C16331,3
R03777__cyto,36.739,XP_085454068.1,C01944,3
R03118__cyto,3.8505,XP_085453772.1,C00029,2
R01548__cyto,42.8154,XP_085454042.1,C00475,2
R03180__cyto,7.1937,XP_085451464.1,C03078,2
R00967__cyto,23.1206,XP_085454042.1,C00299,2
R08198__cyto,2.077,XP_085454552.1,C02630,5
R07950__cyto,72.2193,XP_085454068.1,C16172,3
R04730__cyto,7.4306,XP_085451809.1,C00082,1
R02909__cyto,16.4061,XP_085453602.1,C00780,1
R01547__cyto,72.181,XP_085452058.1,C00360,3
R03778__cyto,0.508,XP_085452799.1,C00024,2
R01177__cyto,12.4559,XP_085455399.1,C00024,4
R00742__mito,4.3615,XP_085453825.1,C00024,2
R10852__cyto,1.4882,XP_085454977.1,C05519,1
R04673__mito,4.9828,XP_085454339.1,C00109,4
R07891__cyto,0.508,XP_085452799.1,C00024,2
R01268__cyto,0.1899,XP_085452271.1,C00153,1
R01015__cyto,2817.1265,XP_085454201.1,C00118,1
R01731__cyto,90.5908,XP_085453977.1,C00036,2
R00028__cyto,8.9324,XP_085451923.1,C00208,2
R10851__cyto,1.4882,XP_085454977.1,C05519,1
R08193__cyto,1.4545,XP_085450611.1,C00357,1
R02164__mito,14.1259,XP_085453444.1,C01967,10
R07486__cyto,1.5485,XP_085455406.1,C15782,1
R04326__cyto,14.3997,XP_085454477.1,C00445,2
R01986__cyto,36.8122,XP_085453865.1,C00555,3
R12205__cyto,1.1936,XP_085450727.1,C02050,1
R01327__cyto,29.0623,XP_085455502.1,C00081,8
R07324__cyto,23.4578,XP_085454468.1,C00092,1
R03460__cyto,3.184,XP_085452194.1,C03175,2
R03245__cyto,7.2695,XP_085452705.1,C01107,1
R06838__cyto,793.0199,XP_085450431.1,C12838,1
R11063__cyto,8.2898,XP_085453633.1,C00155,2
R01395__cyto,0.3451,XP_085452227.1,C01563,3
R07392__cyto,149.91,XP_085453997.1,C04582,1
R05000__mito,0.0674,XP_085450702.1,C04145,2
R01549__cyto,23.1206,XP_085454042.1,C00299,2
R02315__cyto,2.2802,XP_085450477.1,C00449,1
R01010__cyto,41.3138,XP_085455287.1,C00111,10
R00802__cyto,46.829,XP_085451119.1,C00089,1
R00189__cyto,13.758,XP_085455532.1,C00857,1
R10040__cyto,14.935,XP_085453992.1,C01594,3
R01011__mito,8.339,XP_085452684.1,C00184,1
R01826__cyto,3.8512,XP_085455548.1,C00279,4
R01013__cyto,42.4216,XP_085453932.1,C00111,12
R02534__cyto,0.3431,XP_085454410.1,C00547,1
R01730__cyto,20.4141,XP_085452704.1,C00254,1
R02038__cyto,35.3358,XP_085454574.1,C00346,2
R01923__pero,50.1528,XP_085453932.1,C00318,16
R03243__cyto,2.0576,XP_085455205.1,C01100,2
R00188__cyto,43.9997,XP_085454124.1,C00054,1
R04672__mito,4.7846,XP_085454339.1,C00068,4
R01829__cyto,1.0934,XP_085451810.1,C00447,1
R06521__cyto,34.0966,XP_085455657.1,C06124,11
R07606__cyto,53.1801,XP_085453932.1,C00073,8
R02976__cyto,3.564,XP_085453153.1,C00836,1
R04328__cyto,3.2542,XP_085454552.1,C01189,7
R00742__cyto,4.3615,XP_085453825.1,C00024,2
