reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R01209__mito,0.4376,CPAR2_100130,C04039,1
R00316__cyto,2.6003,CPAR2_106960,C00033,2
TZ2900063_CYTMEM__plas,1.2108,CPAR2_806120,C00288,1
R01600__cyto,19.1668,CPAR2_204260,C00221,3
TR0000283_CYTMEM__plas,0.524,CPAR2_105400,C00341,3
R01710__cyto,2.152,CPAR2_204180,C00534,1
R03217__cyto,3.5873,CPAR2_110340,C00097,2
R07134__cyto,662.5346,CPAR2_205820,C01904,5
TR1000179_CYTMEM__plas,50.5188,CPAR2_108350,C00208,10
R00988__cyto,1.8585,CPAR2_700520,C05653,1
R00705__cyto,4.771,CPAR2_500880,C00222,1
R04371__cyto,7.3916,CPAR2_500690,C05662,1
TR0000919_CYTMEM__plas,0.216,CPAR2_803540,C01251,1
R03758__mito,0.1325,CPAR2_400990,C03508,1
R03542__cyto,23.4721,CPAR2_303130,C05714,1
R01431__cyto,113.5085,CPAR2_808660,C00379,6
R01321__cyto,3.1756,CPAR2_703140,C00307,1
R10825__mito,4.766,CPAR2_807310,C00083,3
R00708__mito,7.3282,CPAR2_101480,C03912,1
R03648__cyto,3.6786,CPAR2_703810,C00152,3
TR2900119_CYTMEM__plas,8.6041,CPAR2_103870,C00380,2
R05616__cyto,0.6869,CPAR2_200190,C01230,2
TO1000074_CYTMEM__plas,65.5389,CPAR2_403710,C00087,17
R01799__mito,23.4202,CPAR2_304360,C00063,2
R09376__cyto,98.0215,CPAR2_201320,C01304,1
R11101__cyto,24.7915,CPAR2_304120,C17234,3
TO1002197_CYTMEM__plas,45.4764,CPAR2_201900,C03479,3
R00772__cyto,6.1656,CPAR2_406050,C00275,1
R02059__cyto,1.667,CPAR2_700100,C00357,1
R04751__cyto,22.0581,CPAR2_807710,C05270,4
R00937__mito,7.0826,CPAR2_704170,C00101,1
R09477__cyto,113.5085,CPAR2_808660,C00379,6
TO0000021_PLAS__plas,72.4542,CPAR2_700570,C14818,4
R10825__cyto,4.766,CPAR2_807310,C00083,3
R02235__mito,18.7054,CPAR2_704170,C00415,1
TO1000184_CYTMEM__plas,7.9496,CPAR2_209780,C00214,1
R07409__cyto,48.0979,CPAR2_402730,C00114,1
R04144__cyto,4.0486,CPAR2_208400,C03090,2
TO1000478_CYTMEM__plas,0.9871,CPAR2_806580,C00627,3
TR2916888_CYTMEM__plas,45.2013,CPAR2_603710,C00158,4
R00772__mito,6.1656,CPAR2_406050,C00275,1
R03758__cyto,0.1325,CPAR2_400990,C03508,1
R03158__cyto,0.1852,CPAR2_108690,C01013,1
R12404__cyto,0.3986,CPAR2_302110,C22112,1
R02668__cyto,9.6694,CPAR2_207220,C03227,1
R02778__cyto,10.2261,CPAR2_407750,C00689,1
R12399__cyto,0.2517,CPAR2_801560,C22121,1
TO1000201_CYTMEM__plas,47.7533,CPAR2_201900,C00234,3
R02235__cyto,18.7054,CPAR2_704170,C00415,1
TZ3000012_CYTMEM__plas,12.6795,CPAR2_701660,C06424,13
R00332__cyto,77.1733,CPAR2_303080,C00144,1
R01752__cyto,157.7217,CPAR2_203980,C00577,3
TR2900289_CYTMEM__plas,752.689,CPAR2_805840,C00417,2
R02617__cyto,19.2758,CPAR2_102320,C00093,2
R01086__cyto,11.2956,CPAR2_703790,C03406,1
R10056__cyto,48.5197,CPAR2_804110,C00026,1
TO1000263_CYTMEM__plas,26.8689,CPAR2_201900,C00314,3
R04863__cyto,7.4889,CPAR2_108400,C05560,1
R03903__cyto,3.2906,CPAR2_603360,C02265,2
R01663__cyto,8.2069,CPAR2_700480,C00239,1
TR2000043_CYTMEM__plas,13.1078,CPAR2_808770,C00052,1
TO0000311_CYTMEM__plas,0.7996,CPAR2_107960,C00387,1
TR2900291_CYTMEM__plas,50.5879,CPAR2_805840,C05364,2
R11099__pero,4.9354,CPAR2_400460,C20904,2
TR0001210_CYTMEM__plas,6.7067,CPAR2_105400,C01753,3
R08282__pero,18.5555,CPAR2_203980,C07645,3
R05046__cyto,6.8488,CPAR2_101130,C05922,1
TR0003847_CYTMEM__plas,8.2078,CPAR2_701830,C06424,3
R00582__cyto,33.2283,CPAR2_212320,C01005,1
R01759__cyto,0.2757,CPAR2_101350,C00532,1
R00405__mito,0.9207,CPAR2_204740,C00042,2
R00770__cyto,9.1594,CPAR2_703030,C00081,4
TR2900203_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R02731__cyto,26.5083,CPAR2_301740,C00665,3
R04946__cyto,2.4199,CPAR2_110340,C01118,2
TR0003566_CYTMEM__plas,36.4655,CPAR2_701830,C05993,3
R00014__mito,18.1446,CPAR2_402950,C00022,4
TR2900101_CYTMEM__plas,9.4698,CPAR2_103870,C00055,2
R00177__cyto,23.1392,CPAR2_207990,C00073,1
R00209__mito,70.4239,CPAR2_205940,C00022,6
R01279__cyto,19.5546,CPAR2_807600,C00154,4
TR2916185_CYTMEM__plas,4.8224,CPAR2_402960,C00024,1
R00515__mito,32.1485,CPAR2_303020,C00063,3
TR1000306_CYTMEM__plas,50.6673,CPAR2_108350,C00379,10
R00904__cyto,253.4506,CPAR2_203980,C05665,5
R01773__cyto,3.0415,CPAR2_106630,C00263,1
R00515__cyto,32.1485,CPAR2_303020,C00063,3
TR0002419_CYTMEM__plas,6.8357,CPAR2_105400,C03885,3
TR0011662_CYTMEM__plas,9.6037,CPAR2_105400,C00381,3
R00925__cyto,1.7801,CPAR2_405810,C00163,2
R03970__cyto,7.5759,CPAR2_403550,C00025,4
TR0000029_CYTMEM__plas,40.2037,CPAR2_502340,C00033,7
R03629__cyto,3.528,CPAR2_500140,C01598,1
R10089__mito,111.2326,CPAR2_106660,C00118,6
R00236__cyto,6.7948,CPAR2_106960,C05993,2
R01974__cyto,2.6858,CPAR2_203270,C00331,1
R02731__mito,26.5083,CPAR2_301740,C00665,3
TR2900988_CYTMEM__plas,3.9908,CPAR2_406100,C00712,2
R01274__cyto,35.3428,CPAR2_104150,C00154,1
R09510__cyto,48.5197,CPAR2_804110,C00026,1
R02283__cyto,6.6269,CPAR2_403030,C00437,2
R00751__cyto,2.6378,CPAR2_203970,C00188,2
TR1001017_CYTMEM__plas,43.5058,CPAR2_203500,C01419,11
R00513__cyto,1.3251,CPAR2_404130,C00475,1
R03313__cyto,28.3075,CPAR2_808960,C03287,1
R02577__cyto,0.2564,CPAR2_101350,C00583,1
TR1000105_CYTMEM__plas,45.946,CPAR2_108350,C00121,10
TR1000027_CYTMEM__plas,40.4284,CPAR2_108350,C00031,15
R04037__cyto,1.7411,CPAR2_402720,C02741,1
R04779__cyto,9.1048,CPAR2_703030,C05345,2
TO0000367_CYTMEM__plas,19.3997,CPAR2_402410,C00475,2
TZ2900053_CYTMEM__plas,2.4186,CPAR2_806120,C00177,1
TR2900966_CYTMEM__plas,7.7707,CPAR2_406100,C04672,2
R02340__cyto,122.1248,CPAR2_501440,C03506,2
R03066__cyto,9.2077,CPAR2_303390,C01300,2
R01574__cyto,4.0917,CPAR2_402820,C00216,2
R00287__cyto,32.077,CPAR2_303020,C00029,3
R04301__cyto,16.8746,CPAR2_703530,C03758,1
R02106__cyto,5.1662,CPAR2_213600,C00366,1
R01880__cyto,1.2505,CPAR2_404130,C00299,2
TR1900004_CYTMEM__plas,7.373,CPAR2_213200,C14819,1
R01708__cyto,9.3902,CPAR2_701460,C00314,1
R01818__cyto,6.4775,CPAR2_106460,C00275,1
TO1000016_CYTMEM__plas,19.8964,CPAR2_201900,C00018,3
TO1000182_CYTMEM__plas,10.8313,CPAR2_209780,C00212,1
TZ3000004_CYTMEM__plas,7.7796,CPAR2_805420,C06423,13
R07888__cyto,18.2278,CPAR2_807600,C16327,4
R00257__cyto,2.6577,CPAR2_214140,C00064,2
TO1000367_CYTMEM__plas,15.124,CPAR2_209780,C00475,1
TR0000289_CYTMEM__plas,1.0914,CPAR2_105400,C00353,3
R08362__pero,64.6264,CPAR2_402640,C02090,9
R04426__cyto,9.7386,CPAR2_805510,C04411,1
TO1000924_CYTMEM__plas,11.3623,CPAR2_209780,C01260,1
R03013__cyto,15.188,CPAR2_703830,C01100,1
R00344__cyto,34.5187,CPAR2_402090,C00022,2
R04889__cyto,193.4616,CPAR2_203980,C05581,3
R04756__cyto,28.2475,CPAR2_205560,C05280,3
TR2901005_CYTMEM__plas,9.5026,CPAR2_406100,C05983,2
R01926__cyto,10.364,CPAR2_804970,C00319,1
R00014__cyto,31.706,CPAR2_501020,C00022,4
R00754__cyto,998.1427,CPAR2_501780,C00469,4
R03197__cyto,0.2457,CPAR2_404040,C01051,1
R12205__pero,2.2544,CPAR2_801860,C02050,1
TO1000207_CYTMEM__plas,47.0091,CPAR2_201900,C00242,3
TO0000249_CYTMEM__plas,13.5593,CPAR2_402410,C00299,2
TR2000137_CYTMEM__plas,39.1659,CPAR2_100870,C00158,2
TO1000345_CYTMEM__plas,55.9156,CPAR2_201900,C00440,3
R01054__cyto,1.2065,CPAR2_808790,C00301,1
R04559__cyto,3.0024,CPAR2_204960,C04823,1
R02324__cyto,14.2035,CPAR2_202110,C03150,1
R07505__cyto,0.2631,CPAR2_105550,C15777,1
R08174__pero,12.0702,CPAR2_209830,C00412,1
R00955__cyto,12.2936,CPAR2_106170,C00446,2
R08575__cyto,95.9689,CPAR2_202600,C00118,2
R04444__mito,3.7822,CPAR2_101480,C04281,1
R00897__cyto,9.4077,CPAR2_106760,C00283,8
R12657__mito,1.8141,CPAR2_602300,C03226,1
R08639__cyto,39.8009,CPAR2_800220,C00103,2
R01993__cyto,164.6084,CPAR2_100500,C00337,1
R02872__cyto,2.2471,CPAR2_406760,C03428,1
R01021__cyto,10.7466,CPAR2_807340,C00114,1
R07389__cyto,3.1756,CPAR2_703140,C00307,1
R10089__cyto,111.2326,CPAR2_106660,C00118,6
R00896__cyto,35.7255,CPAR2_701830,C00026,6
R02091__cyto,1.3251,CPAR2_404130,C00475,2
R08179__pero,15.3774,CPAR2_209830,C16165,1
R07052__cyto,2.6479,CPAR2_500140,C00219,1
R07110__cyto,13.8115,CPAR2_804090,C14769,1
R04887__cyto,0.0517,CPAR2_703530,C05580,1
TR0000042_CYTMEM__plas,66.7102,CPAR2_807910,C00051,8
R02984__cyto,15.7623,CPAR2_106140,C00842,1
R02260__cyto,14.3029,CPAR2_104540,C00424,3
TO1000412_CYTMEM__plas,8.4178,CPAR2_209780,C00526,1
R03530__cyto,13.672,CPAR2_101390,C01344,1
R07051__cyto,2.6479,CPAR2_500140,C00219,1
R04001__cyto,4.7072,CPAR2_800360,C04411,1
TO0000184_CYTMEM__plas,0.7546,CPAR2_107960,C00214,1
R03471__cyto,10.9505,CPAR2_211900,C01279,1
R01775__cyto,3.0415,CPAR2_106630,C00263,1
R00848__cyto,41.9421,CPAR2_501330,C00093,1
TR2900846_CYTMEM__plas,5.0271,CPAR2_600780,C00036,2
R02096__cyto,1.3251,CPAR2_404130,C00475,2
TR2916163_CYTMEM__plas,485.2071,CPAR2_700120,C07086,22
R02101__cyto,32.6966,CPAR2_206550,C00143,4
R01070__cyto,0.432,CPAR2_401230,C05378,1
TO0000021_EXTR__plas,72.4542,CPAR2_700570,C14818,3
TZ2900069_CYTMEM__plas,2.6454,CPAR2_806120,C00320,1
TR2900165_CYTMEM__plas,6.5761,CPAR2_103870,C01081,1
R11945__mito,5.6955,CPAR2_103910,C01967,1
R02748__cyto,1.1588,CPAR2_103240,C05512,1
R01496__cyto,5.8072,CPAR2_803230,C00319,2
R01005__cyto,5.8159,CPAR2_801230,C00029,2
R00239__cyto,15.728,CPAR2_200210,C00025,1
R10035__cyto,5.3116,CPAR2_200980,C05143,2
TR1000724_CYTMEM__plas,40.4284,CPAR2_108350,C00984,10
R00677__cyto,8.9758,CPAR2_704320,C00078,1
R00472__cyto,1.3782,CPAR2_803890,C00048,2
TR2900196_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R06516__cyto,3.8443,CPAR2_806890,C06124,1
R04882__cyto,31.0626,CPAR2_203980,C05577,3
R02093__cyto,63.5705,CPAR2_101390,C00363,1
TO0000438_CYTMEM__plas,0.86,CPAR2_107960,C00559,1
R07111__cyto,16.5937,CPAR2_804090,C14768,1
R01056__cyto,30.1593,CPAR2_503720,C00117,1
TR0000020_CYTMEM__plas,76.9398,CPAR2_205600,C00022,2
TO1002555_CYTMEM__plas,86.4734,CPAR2_201900,C04144,3
R01059__cyto,4.3119,CPAR2_700910,C00577,1
TR1000185_CYTMEM__plas,42.3611,CPAR2_108350,C00216,10
TR2900036_CYTMEM__plas,6.567,CPAR2_204490,C00322,2
TO1000926_CYTMEM__plas,3.6436,CPAR2_800720,C01262,7
R02372__cyto,1.3251,CPAR2_404130,C00475,2
TO1000365_CYTMEM__plas,0.8848,CPAR2_806580,C00473,3
R08359__cyto,1.0904,CPAR2_406730,C01137,4
R01724__cyto,28.736,CPAR2_702320,C00119,2
R00191__cyto,1.94,CPAR2_100370,C00575,1
R03018__cyto,29.36,CPAR2_602050,C00864,1
R08177__pero,13.6137,CPAR2_209830,C02050,1
TR2901003_CYTMEM__plas,2.8127,CPAR2_406100,C04780,2
R00569__cyto,18.5305,CPAR2_401910,C00063,2
R03238__cyto,9.1048,CPAR2_703030,C01097,2
R07384__cyto,4.1414,CPAR2_703140,C00055,1
R03348__cyto,0.4493,CPAR2_208360,C00119,2
R07274__cyto,9.4077,CPAR2_106760,C00283,8
R05639__cyto,2.4891,CPAR2_502980,C05108,2
R07494__cyto,0.6993,CPAR2_302110,C15808,1
TR1000212_CYTMEM__plas,61.2846,CPAR2_108350,C00247,10
TR0012785_CYTMEM__plas,14.166,CPAR2_209630,C05848,3
TO0010516_EXTR__plas,15.2819,CPAR2_603600,C14819,2
R01857__cyto,1.6951,CPAR2_101390,C00361,1
R12173__cyto,2.0143,CPAR2_206900,C00154,2
R00710__cyto,123.0748,CPAR2_203980,C00084,5
R04420__cyto,34.7481,CPAR2_213820,C04188,1
R02568__cyto,0.4664,CPAR2_401230,C01094,1
R03304__cyto,48.2956,CPAR2_703530,C01161,1
R00590__pero,2.9804,CPAR2_400460,C00065,2
R12119__mito,0.3203,CPAR2_303740,C21918,1
R02855__cyto,12.195,CPAR2_703950,C00810,1
TR0000404_CYTMEM__plas,0.1863,CPAR2_208040,C00515,1
R02537__pero,339.68,CPAR2_203980,C00601,3
R00275__cyto,67.241,CPAR2_500390,C00704,5
R07394__cyto,6.4083,CPAR2_210240,C15651,1
R00964__cyto,1.2505,CPAR2_404130,C00299,1
TR0001080_CYTMEM__plas,10.1373,CPAR2_701830,C01530,3
TZ2900039_CYTMEM__plas,1.0076,CPAR2_806120,C00059,1
R00939__mito,7.0826,CPAR2_704170,C00101,1
R02850__cyto,19.1668,CPAR2_204260,C00738,3
R00621__mito,1.2496,CPAR2_102800,C00068,2
TR2000083_CYTMEM__plas,0.2701,CPAR2_208270,C00096,1
R03084__cyto,7.4574,CPAR2_400020,C00944,1
TR1000276_CYTMEM__plas,68.9681,CPAR2_108350,C00329,10
TR2000128_CYTMEM__plas,81.3504,CPAR2_303940,C00147,1
R00867__cyto,23.1388,CPAR2_204260,C00095,3
R07491__cyto,0.2631,CPAR2_105550,C15777,1
TR0003225_CYTMEM__plas,7.6358,CPAR2_105400,C05442,3
R01083__cyto,2.5555,CPAR2_204960,C03794,1
R02978__cyto,0.7131,CPAR2_701750,C00836,1
TR0002557_CYTMEM__plas,1.7929,CPAR2_105400,C04146,3
R02035__cyto,11.0779,CPAR2_405160,C01236,2
R12152__cyto,6.7475,CPAR2_703170,C04916,1
TR0000056_CYTMEM__plas,11.657,CPAR2_404630,C00068,1
R07509__cyto,1.719,CPAR2_400970,C05108,2
R04945__cyto,2.1104,CPAR2_110340,C01077,2
TR0002544_CYTMEM__plas,0.5773,CPAR2_803540,C04115,1
R07483__cyto,9.1692,CPAR2_502980,C11508,2
R03401__cyto,0.5505,CPAR2_207830,C04780,1
R02665__cyto,0.388,CPAR2_204460,C00632,1
R00402__cyto,0.494,CPAR2_201540,C00042,2
R00782__cyto,1.1816,CPAR2_701500,C00097,2
R11099__cyto,4.9354,CPAR2_400460,C20904,2
R00870__cyto,630.8896,CPAR2_205820,C00392,2
R03650__cyto,0.5861,CPAR2_801890,C00097,1
R00342__cyto,99.201,CPAR2_400470,C00149,3
TR2000679_CYTMEM__plas,10.4713,CPAR2_200150,C00916,1
TO1000125_CYTMEM__plas,50.6523,CPAR2_201900,C00143,3
TR2900310_CYTMEM__plas,81.3504,CPAR2_303940,C00147,1
R00939__cyto,7.0826,CPAR2_704170,C00101,1
TO1003705_CYTMEM__plas,11.4134,CPAR2_209780,C06197,1
R07238__mito,5.6602,CPAR2_210690,C15527,1
R05190__cyto,10.9024,CPAR2_500020,C00083,2
TR1000074_CYTMEM__plas,23.4034,CPAR2_301390,C00087,22
TR2900153_CYTMEM__plas,6.6445,CPAR2_103870,C02097,2
R01899__mito,7.2653,CPAR2_209910,C00311,2
TR0000829_CYTMEM__plas,4.468,CPAR2_105400,C01126,3
TO1001017_CYTMEM__plas,64.436,CPAR2_800720,C01419,7
R01324__cyto,12.7182,CPAR2_205700,C00158,1
R02408__cyto,2.0028,CPAR2_701500,C00491,2
R04990__mito,2.4585,CPAR2_402580,C05813,2
TO1000493_CYTMEM__plas,0.1772,CPAR2_806580,C00647,3
TR2900160_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R03341__cyto,4.3077,CPAR2_203270,C01179,1
TO0000654_CYTMEM__plas,0.8819,CPAR2_107960,C00881,1
R03968__cyto,2.7613,CPAR2_800360,C02504,1
R02297__cyto,2.6476,CPAR2_103240,C01762,1
R01082__mito,6.5129,CPAR2_808200,C00149,2
R00702__cyto,0.2339,CPAR2_406760,C00448,1
R01954__cyto,4.4071,CPAR2_804120,C00327,2
R00372__cyto,6.581,CPAR2_600400,C00026,2
R00529__cyto,11.9712,CPAR2_203530,C00059,1
TR1000644_CYTMEM__plas,5.7817,CPAR2_200220,C00864,3
R01074__cyto,3.2061,CPAR2_200170,C00120,2
R07043__cyto,4.7523,CPAR2_500140,C05966,1
TR2900039_CYTMEM__plas,13.5958,CPAR2_204490,C00036,2
R03596__cyto,1.5335,CPAR2_303180,C01528,1
R12085__cyto,153.3433,CPAR2_203170,C01165,4
R00494__cyto,11.3648,CPAR2_110410,C00051,1
R06527__cyto,6.0871,CPAR2_803230,C12144,2
R00707__mito,7.3282,CPAR2_101480,C03912,1
R00114__cyto,10.98,CPAR2_206810,C00026,2
R03088__cyto,1.5037,CPAR2_500140,C00951,1
R03654__cyto,3.4131,CPAR2_107820,C00037,1
TO1000310_CYTMEM__plas,11.3211,CPAR2_800720,C00386,7
TR1000258_CYTMEM__plas,63.8967,CPAR2_108350,C00309,10
R00927__cyto,26.8076,CPAR2_212970,C00024,8
R00719__cyto,14.5124,CPAR2_401910,C00081,2
R03050__mito,5.5971,CPAR2_406240,C00068,2
R00935__cyto,0.3787,CPAR2_704170,C06002,1
R03659__cyto,4.7371,CPAR2_101150,C00073,2
R04911__cyto,7.2325,CPAR2_700520,C05648,1
TR0000776_CYTMEM__plas,10.1691,CPAR2_105400,C01054,3
R11319__cyto,22.7532,CPAR2_602110,C00068,2
R01041__cyto,12.0026,CPAR2_800970,C00116,3
R01354__cyto,5.5428,CPAR2_106960,C05983,2
TR1008367_CYTMEM__plas,157.68,CPAR2_702960,C11537,5
R02697__pero,348.9281,CPAR2_203980,C03765,3
R01082__cyto,6.5129,CPAR2_808200,C00149,2
TR2900183_CYTMEM__plas,6.9472,CPAR2_103870,C11038,2
R00994__cyto,44.4604,CPAR2_805510,C00109,1
R05069__mito,1.4759,CPAR2_603140,C06006,1
R09365__cyto,3.1814,CPAR2_802800,C04489,2
TR2901049_CYTMEM__plas,7.357,CPAR2_406100,C16502,2
TR1000108_CYTMEM__plas,40.4284,CPAR2_108350,C00124,11
R03096__cyto,2.2101,CPAR2_703590,C02693,3
R00369__cyto,7.1115,CPAR2_600400,C00048,2
TR2900120_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R12026__cyto,34.0474,CPAR2_701260,C00283,2
R07238__cyto,5.6602,CPAR2_210690,C15527,1
R03302__pero,129.893,CPAR2_203980,C04043,3
R00706__cyto,4.771,CPAR2_500880,C00222,1
R07364__cyto,140.5141,CPAR2_209190,C15606,1
R00774__cyto,1530.2804,CPAR2_105520,C00086,2
R03646__cyto,0.9447,CPAR2_109290,C00062,1
R00115__cyto,123.1761,CPAR2_501660,C00051,1
TR2900171_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R04640__cyto,6.1486,CPAR2_500430,C04896,1
R00926__cyto,5.5428,CPAR2_106960,C05983,2
TZ2900003_CYTMEM__plas,1.4848,CPAR2_212100,C14819,1
R08282__cyto,18.5555,CPAR2_203980,C07645,3
R09366__cyto,1.331,CPAR2_701500,C05689,2
R02124__cyto,140.5139,CPAR2_501780,C00473,4
R01579__cyto,49.178,CPAR2_106650,C00819,2
TO1001217_CYTMEM__plas,9.2474,CPAR2_209780,C01762,1
R00217__mito,12.232,CPAR2_602260,C00036,1
R01959__cyto,8.3263,CPAR2_700520,C02700,1
TR0002198_CYTMEM__plas,128.4737,CPAR2_808650,C03483,33
TR2900227_CYTMEM__plas,6.5761,CPAR2_103870,C01081,1
R01201__cyto,6.2568,CPAR2_700080,C00140,1
R01858__cyto,11.3027,CPAR2_209240,C00022,2
R05724__cyto,2.231,CPAR2_101680,C00533,2
R00876__cyto,23.1388,CPAR2_204260,C00095,6
TO0021423_CYTMEM__plas,0.8455,CPAR2_107960,C20190,1
